label,d,mean_time_per_gibbs_sec,std_time_per_gibbs_sec,n
BGDA (Alg. 2.2),2,0.0002437319148776488,1.996448292150095e-05,2
BGDA (Alg. 2.2),3,0.00028264255323595905,8.313770401822584e-06,2
BGDA (Alg. 2.2),4,0.0003453957446679929,3.24065527009609e-06,2
KL descent,2,0.00047061250006663613,1.6652364803619173e-05,2
KL descent,3,0.0005141406250004366,1.0385632756810128e-06,2
KL descent,4,0.0005978468748253363,2.5234872471408676e-06,2
MD-Sinkhorn (M=2),2,0.00026797131145254663,5.5745515958064895e-06,2
MD-Sinkhorn (M=2),3,0.0003093606557412699,7.112798716485906e-06,2
MD-Sinkhorn (M=2),4,0.0004333680327795637,7.601629734498014e-05,2
