case_id,label,algo,M_inner,d,N,eps,seed,H_kind,normalize_cost,gibbs_total,runtime_sec,time_per_gibbs_sec,median_time_per_gibbs_in_group,rel_time_per_gibbs
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,0.5,0,random,1,4502,1.1298234999994747,0.0002509603509550144,0.0003333551070602501,0.7528318769979312
case1_N2,KL descent,KL,,3,2,0.5,0,random,1,1501,0.7469215000019176,0.0004976159227194654,0.0003333551070602501,1.492750259948851
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,0.5,0,random,1,3001,1.1100851000010152,0.00036990506497867887,0.0003333551070602501,1.1096427117638932
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,0.5,0,random,1,6001,1.78112770000007,0.00029680514914182137,0.0003333551070602501,0.8903572882361068
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,0.5,1,random,1,4502,1.169260900001973,0.0002597203243007492,0.0003290310759247554,0.789348919614339
case1_N2,KL descent,KL,,3,2,0.5,1,random,1,1501,0.7457183000005898,0.0004968143237845369,0.0003290310759247554,1.5099313108593764
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,0.5,1,random,1,3001,1.0966457000031369,0.0003654267577484628,0.0003290310759247554,1.1106147245253837
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,0.5,1,random,1,6001,1.7561050000003888,0.000292635394101048,0.0003290310759247554,0.8893852754746163
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,0.5,2,random,1,4502,1.151006399995822,0.0002556655708564687,0.0003330028847322894,0.7677578260681003
case1_N2,KL descent,KL,,3,2,0.5,2,random,1,1501,0.7667585000017425,0.0005108317788152848,0.0003330028847322894,1.5340160768455722
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,0.5,2,random,1,3001,1.0970978999976069,0.00036557744085225153,0.0003330028847322894,1.0978206424432322
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,0.5,2,random,1,6001,1.8028704000025755,0.0003004283286123272,0.0003330028847322894,0.9021793575567676
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,1.0,0,random,1,4502,1.1597010999976192,0.00025759686805811174,0.00033092126878672267,0.7784234268246197
case1_N2,KL descent,KL,,3,2,1.0,0,random,1,1501,0.7493893999999273,0.0004992600932711041,0.00033092126878672267,1.5086975071187556
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,1.0,0,random,1,3001,1.1011629999993602,0.0003669320226589004,0.00033092126878672267,1.1088197020524133
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,1.0,0,random,1,6001,1.7697580000021844,0.000294910514914545,0.00033092126878672267,0.8911802979475869
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,1.0,1,random,1,4502,1.1368641999943065,0.0002525242558850081,0.0003286284681291732,0.7684186866785656
case1_N2,KL descent,KL,,3,2,1.0,1,random,1,1501,0.739794900000561,0.0004928680213194944,0.0003286284681291732,1.4997727498329936
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,1.0,1,random,1,3001,1.0867387000034796,0.0003621255248262178,0.0003286284681291732,1.1019298689725139
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,1.0,1,random,1,6001,1.7710836000042036,0.00029513141143212856,0.0003286284681291732,0.8980701310274859
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,1.0,2,random,1,4502,1.1692469000045094,0.0002597172145723033,0.00033268484033094115,0.780670421633722
case1_N2,KL descent,KL,,3,2,1.0,2,random,1,1501,0.7588068999975803,0.0005055342438358296,0.00033268484033094115,1.5195590016453562
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,1.0,2,random,1,3001,1.1129099000027054,0.00037084635121716275,0.00033268484033094115,1.1147076940694385
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,1.0,2,random,1,6001,1.767434499997762,0.00029452332944471954,0.00033268484033094115,0.8852923059305614
case1_N2,BGDA (Alg. 2.2),BGDA,,4,2,0.5,0,random,1,4502,1.459755399999267,0.00032424597956447513,0.00040962228338712166,0.7915730972527196
case1_N2,KL descent,KL,,4,2,0.5,0,random,1,1501,0.8804819999932079,0.0005865969353718906,0.00040962228338712166,1.4320435170698844
case1_N2,MD-Sinkhorn (M=1),MD,1,4,2,0.5,0,random,1,3001,1.3407110999978613,0.0004467547817387075,0.00040962228338712166,1.0906505819081456
case1_N2,MD-Sinkhorn (M=2),MD,2,4,2,0.5,0,random,1,6001,2.2353111999982502,0.0003724897850355358,0.00040962228338712166,0.9093494180918545
case1_N2,BGDA (Alg. 2.2),BGDA,,4,2,0.5,1,random,1,4502,1.4711418000006233,0.00032677516659276396,0.00040770560911815095,0.8014978437494742
case1_N2,KL descent,KL,,4,2,0.5,1,random,1,1501,0.881012699996063,0.0005869504996642658,0.00040770560911815095,1.4396429348465762
case1_N2,MD-Sinkhorn (M=1),MD,1,4,2,0.5,1,random,1,3001,1.3389843000040855,0.000446179373543514,0.00040770560911815095,1.0943665320390858
case1_N2,MD-Sinkhorn (M=2),MD,2,4,2,0.5,1,random,1,6001,2.2157603000014205,0.00036923184469278797,0.00040770560911815095,0.9056334679609142
case1_N2,BGDA (Alg. 2.2),BGDA,,4,2,0.5,2,random,1,4502,1.4596382000017911,0.0003242199466907577,0.0004098145181291447,0.7911382646248427
case1_N2,KL descent,KL,,4,2,0.5,2,random,1,1501,0.8831866000036825,0.0005883988008019204,0.0004098145181291447,1.4357685605869592
case1_N2,MD-Sinkhorn (M=1),MD,1,4,2,0.5,2,random,1,3001,1.3335045999992872,0.0004443534155279197,0.0004098145181291447,1.0842793407038127
case1_N2,MD-Sinkhorn (M=2),MD,2,4,2,0.5,2,random,1,6001,2.252029000002949,0.0003752756207303698,0.0004098145181291447,0.9157206592961875
case1_N2,BGDA (Alg. 2.2),BGDA,,4,2,1.0,0,random,1,4502,1.4633912999997847,0.00032505359840066296,0.0004088167260857961,0.7951083643589616
case1_N2,KL descent,KL,,4,2,1.0,0,random,1,1501,0.8912124999988009,0.0005937458361084617,0.0004088167260857961,1.4523521133620534
case1_N2,MD-Sinkhorn (M=1),MD,1,4,2,1.0,0,random,1,3001,1.3338050000020303,0.0004444535154955116,0.0004088167260857961,1.0871705758003567
case1_N2,MD-Sinkhorn (M=2),MD,2,4,2,1.0,0,random,1,6001,2.2394527999931597,0.0003731799366760806,0.0004088167260857961,0.9128294241996435
case1_N2,BGDA (Alg. 2.2),BGDA,,4,2,1.0,1,random,1,4502,1.4676531000004616,0.0003260002443359533,0.00041092817545889944,0.7933265806655778
case1_N2,KL descent,KL,,4,2,1.0,1,random,1,1501,0.9008856000000378,0.0006001902731512577,0.00041092817545889944,1.4605722094402553
case1_N2,MD-Sinkhorn (M=1),MD,1,4,2,1.0,1,random,1,3001,1.3460630000045057,0.0004485381539501852,0.00041092817545889944,1.0915244578916625
case1_N2,MD-Sinkhorn (M=2),MD,2,4,2,1.0,1,random,1,6001,2.2402825000026496,0.0003733181969676137,0.00041092817545889944,0.9084755421083375
case1_N2,BGDA (Alg. 2.2),BGDA,,4,2,1.0,2,random,1,4502,1.4925588999976753,0.00033153240781823084,0.00041174391346914386,0.8051907920748801
case1_N2,KL descent,KL,,4,2,1.0,2,random,1,1501,0.9177218000040739,0.0006114069287169047,0.00041174391346914386,1.4849203806451012
case1_N2,MD-Sinkhorn (M=1),MD,1,4,2,1.0,2,random,1,3001,1.3497014000022318,0.00044975054981747145,0.00041174391346914386,1.0923064922274215
case1_N2,MD-Sinkhorn (M=2),MD,2,4,2,1.0,2,random,1,6001,2.2427974000020185,0.0003737372771208163,0.00041174391346914386,0.9076935077725786
