label,eps,mean_time_per_gibbs_sec,std_time_per_gibbs_sec,n
BGDA (Alg. 2.2),0.5,0.0004599691489234597,1.1595046680686133e-05,2
BGDA (Alg. 2.2),0.7071067811865476,0.0002622638297752735,7.393027098565809e-06,2
BGDA (Alg. 2.2),1.0,0.0002576734042761134,7.116201740780358e-07,2
KL descent,0.5,0.0005529499999283871,6.566370312429078e-05,2
KL descent,0.7071067811865476,0.0005047249999279302,1.387697013375775e-06,2
KL descent,1.0,0.0005055343749518215,8.88744850291854e-06,2
MD-Sinkhorn (M=2),0.5,0.0003386483606204894,5.431855189473825e-05,2
MD-Sinkhorn (M=2),0.7071067811865476,0.000295816393429318,2.5386292795981448e-06,2
MD-Sinkhorn (M=2),1.0,0.00029486967206571906,1.1788976512107324e-06,2
