experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_entropic_primal,final_linear_cost,final_entropy,final_dual_value,final_primal_dual_gap,final_state_path,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,dual_gap_to_lbfgs,lbfgs_run_mode,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_ising_mixed_N7_seed0,0.001,2x2x2x2x2x2x2,L-BFGS entropy dual (fixed budget),,ok,False,10000,932.5963840484619,59734,-0.9800663592528793,-0.9800663592528793,-0.9793736068542567,-0.6927523986226609,-0.980068572034642,2.2127817627115576e-06,results/hpc_qubit_scaling_N3N7/final_states/N7/small__small_ising_mixed_N7_seed0__eps1e-03__L-BFGS_entropy_dual_fixed_budget.npz,1.9188041175465726e-08,5.575696377491113e-06,-1,33,-1,96,True,0.0,0.0,0.0,fixed_budget,,,,,,,,,,True,26,61,True,33,96,True,142,577,ising,mixed,0,,
small,-2,small_ising_mixed_N7_seed0,0.001,2x2x2x2x2x2x2,L-BFGS entropy dual (first hit),,ok,True,96,,96,,,,,,,,,7.134157931432128e-05,,33,,96,,,,,,,,,,,,,,,True,26,61,True,33,96,True,142,577,ising,mixed,0,,
small,-2,small_ising_mixed_N7_seed0,0.001,2x2x2x2x2x2x2,KL descent (eta=eps/N),,ok,True,40963,6291.8461310863495,40964,-0.9800747253478025,-0.9800747253478025,-0.9793819846123084,-0.6927407354941111,-0.980068587373871,-6.137973931452656e-06,results/hpc_qubit_scaling_N3N7/final_states/N7/small__small_ising_mixed_N7_seed0__eps1e-03__KL_descent_eta_eps_over_N.npz,1.1920254805739917e-08,9.998887788958966e-05,-1,40963,-1,40964,False,0.0007005743575389984,8.366094923162315e-06,-1.5339228998101362e-08,,True,1109,1110,True,7606,7607,True,16241,16242,True,24175,24176,True,40963,40964,False,-1,,ising,mixed,0,0.00014285714285714287,eps_over_N
small,-2,small_ising_mixed_N7_seed0,0.001,2x2x2x2x2x2x2,KL descent (eta=eps),,ok,False,99999,2112.9778842926025,100000,-0.9586514633811225,-0.9586514633811225,-0.9584794188985865,-0.1720444825360185,-0.9824453942491687,0.023793930868046154,results/hpc_qubit_scaling_N3N7/final_states/N7/small__small_ising_mixed_N7_seed0__eps1e-03__KL_descent_eta_eps.npz,1.2488837581706491,0.8009538753507845,-1,-1,-1,-1,False,0.954845604128552,0.021414895871756823,-0.0023768222145266193,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,0.001,eps
small,-2,small_ising_mixed_N7_seed0,0.001,2x2x2x2x2x2x2,MD-Sinkhorn (M=1),1,ok,True,4685,444.94964027404785,21699,-0.9800779968787136,-0.9800779968787136,-0.9793852606068087,-0.6927362719047765,-0.9800686220971029,-9.374781610671512e-06,results/hpc_qubit_scaling_N3N7/final_states/N7/small__small_ising_mixed_N7_seed0__eps1e-03__MD-Sinkhorn_M_1__M1.npz,3.47254547351639e-08,9.983118456274864e-05,-1,4685,-1,21699,False,0.0009973253619658825,1.1637625834226561e-05,-5.006246084349186e-08,,True,144,804,True,893,4549,True,1879,9479,True,2718,13674,True,4685,21699,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N7_seed0,0.001,2x2x2x2x2x2x2,MD-Sinkhorn (M=2),2,ok,True,2674,447.31415486335754,22035,-0.9800771418989641,-0.9800771418989641,-0.9793844044439616,-0.6927374550025205,-0.9800686217505943,-8.520148369828284e-06,results/hpc_qubit_scaling_N3N7/final_states/N7/small__small_ising_mixed_N7_seed0__eps1e-03__MD-Sinkhorn_M_2__M2.npz,2.4997856708754425e-08,9.989481878447393e-05,-1,2674,-1,22035,False,0.0009439873624250925,1.0782646084783742e-05,-4.9715952243900574e-08,,True,97,1060,True,493,4910,True,1032,10300,True,1518,14765,True,2674,22035,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N7_seed0,0.001,2x2x2x2x2x2x2,MD-Sinkhorn (M=5),5,ok,True,1757,542.8442625999451,25331,-0.9800734000778681,-0.9800734000778681,-0.9793806574493376,-0.6927426285305858,-0.9800686279016824,-4.772176185774413e-06,results/hpc_qubit_scaling_N3N7/final_states/N7/small__small_ising_mixed_N7_seed0__eps1e-03__MD-Sinkhorn_M_5__M5.npz,7.849139948492044e-08,9.992285017479396e-05,-1,1757,-1,25331,False,0.0008012141759791479,7.040824988813199e-06,-5.586704032722878e-08,,True,103,2674,True,322,7856,True,697,15688,True,1130,22542,True,1757,25331,False,-1,,ising,mixed,0,,
