exp,N,d,seed,eps,tol_F,max_iter,algo,M_inner,converged,gibbs_to_tol,time_to_tol,sec_per_gibbs_to_tol,gibbs_total,wall_sec_total
E2_N2_MD_M125,2,3,1,1.0,1e-08,25000,MD,2,1,17.0,0.022565126419067383,0.001327360377592199,17.0,0.02356433868408203
E2_N2_MD_M125,2,3,1,1.0,1e-08,25000,MD,5,1,41.0,0.05101966857910156,0.0012443821604658917,41.0,0.05101966857910156
E2_N2_MD_M125,2,4,1,1.0,1e-08,25000,MD,1,1,11.0,0.01896953582763672,0.0017245032570578835,11.0,0.019985675811767578
E2_N2_MD_M125,2,4,1,1.0,1e-08,25000,MD,2,1,13.0,0.021043777465820312,0.0016187521127554087,13.0,0.022052764892578125
E2_N2_MD_M125,2,4,1,1.0,1e-08,25000,MD,5,1,31.0,0.0441584587097168,0.0014244664099908645,31.0,0.04715466499328613
E2_N2_MD_M125,2,5,1,1.0,1e-08,25000,MD,1,1,19.0,0.3377509117126465,0.017776363774349813,19.0,0.3719789981842041
E2_N2_MD_M125,2,5,1,1.0,1e-08,25000,MD,2,1,21.0,0.37797021865844727,0.017998581840878443,21.0,0.4039881229400635
E2_N2_MD_M125,2,5,1,1.0,1e-08,25000,MD,5,1,31.0,0.5402710437774658,0.017428098186369863,31.0,0.5514097213745117
E2_N2_MD_M125,2,6,1,1.0,1e-08,25000,MD,1,1,13.0,0.03471541404724121,0.0026704164651724007,13.0,0.03673267364501953
E2_N2_MD_M125,2,6,1,1.0,1e-08,25000,MD,2,1,13.0,0.031230688095092773,0.002402360622699444,13.0,0.03313159942626953
E2_N2_MD_M125,2,6,1,1.0,1e-08,25000,MD,5,1,31.0,0.07652044296264648,0.0024684013858918222,31.0,0.07810711860656738
E2_N2_MD_M125,2,7,1,1.0,1e-08,25000,MD,1,1,13.0,0.24704384803771973,0.01900337292597844,13.0,0.26502418518066406
E2_N2_MD_M125,2,7,1,1.0,1e-08,25000,MD,2,1,13.0,0.27605319023132324,0.021234860787024863,13.0,0.2934305667877197
E2_N2_MD_M125,2,7,1,1.0,1e-08,25000,MD,5,1,31.0,0.6552233695983887,0.02113623772898028,31.0,0.680487871170044
E2_N2_MD_M125,2,8,1,1.0,1e-08,25000,MD,1,1,71.0,2.981757640838623,0.04199658649068483,71.0,3.0250308513641357
E2_N2_MD_M125,2,8,1,1.0,1e-08,25000,MD,2,1,73.0,3.212872266769409,0.04401194885985492,73.0,3.2562432289123535
E2_N2_MD_M125,2,8,1,1.0,1e-08,25000,MD,5,1,71.0,3.1478567123413086,0.04433601003297618,71.0,3.182546615600586
E2_N2_MD_M125,2,9,1,1.0,1e-08,25000,MD,1,1,21.0,4.046700477600098,0.1927000227428618,21.0,4.205469608306885
E2_N2_MD_M125,2,9,1,1.0,1e-08,25000,MD,2,1,21.0,3.8869731426239014,0.18509395917256674,21.0,4.068693161010742
E2_N2_MD_M125,2,9,1,1.0,1e-08,25000,MD,5,1,31.0,6.282098293304443,0.20264833204207883,31.0,6.496007442474365
E2_N2_MD_M125,2,10,1,1.0,1e-08,25000,MD,1,1,199.0,82.48695683479309,0.41450732077785474,199.0,83.01708817481995
E2_N2_MD_M125,2,10,1,1.0,1e-08,25000,MD,2,1,201.0,79.74100089073181,0.3967213974663274,201.0,80.13665652275085
E2_N2_MD_M125,2,10,1,1.0,1e-08,25000,MD,5,1,201.0,72.9124014377594,0.3627482658594995,201.0,73.32355546951294
E2_N2_MD_M125,2,11,1,1.0,1e-08,25000,MD,1,1,21.0,12.898497104644775,0.6142141478402274,21.0,13.627756357192993
E2_N2_MD_M125,2,11,1,1.0,1e-08,25000,MD,2,1,21.0,12.69425654411316,0.6044884068625314,21.0,13.388727903366089
