Type,$\varepsilon$,Method,Start,$10^{-3}$,$10^{-4}$,Total Gibbs,final $E_{\rm tr}$
Random,$10^{-9}$,KL $\eta=\varepsilon$,warm,--,--,100000,$8.88\times 10^{-3}$
Random,$10^{-9}$,MD $M=1$,cold,--,--,100000,$6.04\times 10^{-1}$
Random,$10^{-9}$,MD $M=1$,warm,--,--,100000,$8.70\times 10^{-3}$
Random,$10^{-9}$,MD $M=2$,cold,--,--,100000,$6.04\times 10^{-1}$
Random,$10^{-9}$,MD $M=2$,warm,--,--,100000,$8.36\times 10^{-3}$
Random,$10^{-9}$,MD $M=5$,cold,--,--,100000,$6.04\times 10^{-1}$
Random,$10^{-9}$,MD $M=5$,warm,--,--,100000,$8.83\times 10^{-3}$
Random,$10^{-12}$,KL $\eta=\varepsilon/N$,cold,--,--,100000,$6.04\times 10^{-1}$
Random,$10^{-12}$,KL $\eta=\varepsilon/N$,warm,--,--,100000,$8.88\times 10^{-3}$
Random,$10^{-12}$,KL $\eta=\varepsilon$,cold,--,--,100000,$6.04\times 10^{-1}$
Random,$10^{-12}$,KL $\eta=\varepsilon$,warm,--,--,100000,$8.80\times 10^{-3}$
Random,$10^{-12}$,MD $M=1$,cold,--,--,100000,$6.04\times 10^{-1}$
Random,$10^{-12}$,MD $M=1$,warm,--,--,100000,$8.59\times 10^{-3}$
Random,$10^{-12}$,MD $M=2$,cold,--,--,100000,$6.04\times 10^{-1}$
Random,$10^{-12}$,MD $M=2$,warm,--,--,100000,$8.76\times 10^{-3}$
Random,$10^{-12}$,MD $M=5$,cold,--,--,100000,$6.04\times 10^{-1}$
Random,$10^{-12}$,MD $M=5$,warm,--,--,100000,$8.03\times 10^{-3}$
