experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_entropic_primal,final_linear_cost,final_entropy,final_dual_value,final_primal_dual_gap,final_state_path,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,dual_gap_to_lbfgs,lbfgs_run_mode,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_ising_mixed_N6_seed0,0.001,2x2x2x2x2x2,L-BFGS entropy dual (fixed budget),,ok,False,10000,30.19589352607727,58387,-0.9554932326985197,-0.9554932326985197,-0.9548032573510447,-0.6899753474750082,-0.9555035931658232,1.0360467303516252e-05,results/hpc_qubit_scaling_N3N7/final_states/N6/small__small_ising_mixed_N6_seed0__eps1e-03__L-BFGS_entropy_dual_fixed_budget.npz,2.8904763914750393e-08,4.115861520403996e-05,-1,93,-1,233,True,0.0,0.0,0.0,fixed_budget,,,,,,,,,,True,24,61,True,93,233,True,139,371,ising,mixed,0,,
small,-2,small_ising_mixed_N6_seed0,0.001,2x2x2x2x2x2,L-BFGS entropy dual (first hit),,ok,True,233,,233,,,,,,,,,7.120115333236754e-05,,93,,233,,,,,,,,,,,,,,,True,24,61,True,93,233,True,139,371,ising,mixed,0,,
small,-2,small_ising_mixed_N6_seed0,0.001,2x2x2x2x2x2,KL descent (eta=eps/N),,ok,True,54083,293.6557414531708,54084,-0.955509905382534,-0.955509905382534,-0.9548199672712906,-0.689938111243358,-0.9555038581161925,-6.047266341457913e-06,results/hpc_qubit_scaling_N3N7/final_states/N6/small__small_ising_mixed_N6_seed0__eps1e-03__KL_descent_eta_eps_over_N.npz,1.6507841982396664e-08,9.999869835419783e-05,-1,54083,-1,54084,False,0.001507288522625886,1.667268401428501e-05,-2.649503693108457e-07,,True,1303,1304,True,6397,6398,True,17450,17451,True,29917,29918,True,54083,54084,False,-1,,ising,mixed,0,0.00016666666666666666,eps_over_N
small,-2,small_ising_mixed_N6_seed0,0.001,2x2x2x2x2x2,KL descent (eta=eps),,ok,True,9013,48.017571210861206,9014,-0.9555099025601352,-0.9555099025601352,-0.9548199644435065,-0.6899381166288,-0.9555038581685421,-6.044391593129639e-06,results/hpc_qubit_scaling_N3N7/final_states/N6/small__small_ising_mixed_N6_seed0__eps1e-03__KL_descent_eta_eps.npz,1.6501399078616617e-08,9.995030777315561e-05,-1,9013,-1,9014,False,0.0015073899105391086,1.666986161552586e-05,-2.6500271887996973e-07,,True,217,218,True,1067,1068,True,2909,2910,True,4986,4987,True,9013,9014,False,-1,,ising,mixed,0,0.001,eps
small,-2,small_ising_mixed_N6_seed0,0.001,2x2x2x2x2x2,MD-Sinkhorn (M=1),1,ok,True,8196,111.36092495918274,24119,-0.9555052388215343,-0.9555052388215343,-0.9548152931173193,-0.6899457042149474,-0.9555040270384088,-1.2117831255098466e-06,results/hpc_qubit_scaling_N3N7/final_states/N6/small__small_ising_mixed_N6_seed0__eps1e-03__MD-Sinkhorn_M_1__M1.npz,6.095400030365361e-07,9.983594257784167e-05,-1,8196,-1,24119,False,0.0019521729108901438,1.200612301455184e-05,-4.338725855257408e-07,,True,198,997,True,1039,4719,True,2765,10982,True,4522,16098,True,8196,24119,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N6_seed0,0.001,2x2x2x2x2x2,MD-Sinkhorn (M=2),2,ok,True,4196,104.90147614479065,24801,-0.9555052296888219,-0.9555052296888219,-0.9548152838895894,-0.6899457992325698,-0.9555040172943964,-1.2123944255204577e-06,results/hpc_qubit_scaling_N3N7/final_states/N6/small__small_ising_mixed_N6_seed0__eps1e-03__MD-Sinkhorn_M_2__M2.npz,5.996621234445147e-07,9.990886657768039e-05,-1,4196,-1,24801,False,0.0019322575423468926,1.1996990302187704e-05,-4.241285731509947e-07,,True,110,1107,True,555,5079,True,1428,11190,True,2389,17004,True,4196,24801,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N6_seed0,0.001,2x2x2x2x2x2,MD-Sinkhorn (M=5),5,ok,True,1922,115.29057621955872,26995,-0.9555051861688778,-0.9555051861688778,-0.9548152400651893,-0.6899461036885147,-0.9555039860909477,-1.200077930141319e-06,results/hpc_qubit_scaling_N3N7/final_states/N6/small__small_ising_mixed_N6_seed0__eps1e-03__MD-Sinkhorn_M_5__M5.npz,5.480976723817644e-07,9.98945870025747e-05,-1,1922,-1,26995,False,0.0018597937599513117,1.1953470358094798e-05,-3.929251244372267e-07,,True,62,1558,True,291,6544,True,665,12952,True,1131,19798,True,1922,26995,False,-1,,ising,mixed,0,,
