Type,epsilon,Method,hit_1e3,hit_1e4,final_gibbs,final_e_tr,dist_pi_lbfgs,primal,dual
Ising,1e-05,L-BFGS,295.0,729.0,954040.0,0.0042234268039464,0.0,-0.9397426378486856,-0.93499769620496
Ising,1e-05,KL $\eta=\varepsilon/N$,10766.0,-1.0,1000000.0,0.0004507311790999,0.03766648978894936,-0.9349824904507716,-0.934998854891899
Ising,1e-05,KL $\eta=\varepsilon$,2707.0,-1.0,1000000.0,0.0001100651802672,0.037924897701480983,-0.9349941906840072,-0.9349977621285072
Ising,1e-05,MD $M=1$,10616.0,-1.0,1000000.0,0.0003163844764388,0.03795167101239838,-0.9349615580688976,-0.93499826363698
Ising,1e-05,MD $M=2$,11282.0,-1.0,1000000.0,0.0003266047840482,0.03794302883412717,-0.9349613981644432,-0.9349983012713964
Ising,1e-05,MD $M=5$,12886.0,-1.0,1000000.0,0.0003507100488828,0.037934161068406705,-0.9349597030676328,-0.9349983895891648
Ising,1e-07,L-BFGS,,,1490619.0,0.3495427668094635,0.0,-0.9750156845264414,-0.9349955124402988
Ising,1e-07,KL $\eta=\varepsilon/N$,11402.0,-1.0,1000000.0,0.0010336938336401,0.3700753879200773,-0.9350008552635046,-0.9349962181788368
Ising,1e-07,KL $\eta=\varepsilon$,2863.0,-1.0,1000000.0,0.0009335982776908,0.37014065355693127,-0.9349914435898596,-0.9349961355486256
Ising,1e-07,MD $M=1$,11240.0,-1.0,1000000.0,0.0010288177579882,0.3700394830853152,-0.9350002856877936,-0.9349964888177268
Ising,1e-07,MD $M=2$,11926.0,-1.0,1000000.0,0.0010274894772347,0.37004008177255915,-0.9349957005984256,-0.9349966989495264
Ising,1e-07,MD $M=5$,13530.0,-1.0,1000000.0,0.0010186508334605,0.3700367051534612,-0.934986108646956,-0.9349971912009274
Random,1e-05,L-BFGS,470.0,,949067.0,0.0091949272900819,0.0,-0.835215263983482,-0.8363336198247876
Random,1e-05,KL $\eta=\varepsilon/N$,5024.0,-1.0,680473.0,0.0001020383635085,0.018836082282029695,-0.8363437155406347,-0.8363336275258608
Random,1e-05,KL $\eta=\varepsilon$,6789.0,-1.0,170225.0,0.0001020572438637,0.0188360475280408,-0.8363437085575667,-0.8363336275334371
Random,1e-05,MD $M=1$,4229.0,363307.0,363307.0,9.99784434237732e-05,0.01880807984009851,-0.8363460840041992,-0.8363336304520701
Random,1e-05,MD $M=2$,4208.0,352797.0,352797.0,9.999955668142226e-05,0.018767616757611075,-0.8363475985690473,-0.8363336287439276
Random,1e-05,MD $M=5$,7838.0,307735.0,307735.0,9.993204227743816e-05,0.01865670188554848,-0.8363489856967983,-0.8363336288320797
Random,1e-07,L-BFGS,,,1318088.0,0.1501942127943039,0.0,-0.8109505255029752,-0.8363291044692787
Random,1e-07,KL $\eta=\varepsilon/N$,5548.0,-1.0,1000000.0,0.0010646921853945,0.2833777594462097,-0.8364670102522643,-0.8363279084685405
Random,1e-07,KL $\eta=\varepsilon$,6909.0,-1.0,1000000.0,0.0008321270088257,0.28304743531708915,-0.836438030527319,-0.8363276594122251
Random,1e-07,MD $M=1$,4697.0,-1.0,1000000.0,0.0010929994390617,0.2831501892538989,-0.836446270176433,-0.8363276996913483
Random,1e-07,MD $M=2$,4692.0,-1.0,1000000.0,0.0010953223809704,0.28314549463727007,-0.8364491173674846,-0.8363276618658211
Random,1e-07,MD $M=5$,8402.0,-1.0,1000000.0,0.0009338109159543,0.2828482135196523,-0.8364015175584173,-0.836327465010147
