experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_random_mixed_N3_seed0,0.001,2x2x2,L-BFGS entropy dual,,ok,False,100000,17.3662691116333,100000,-0.8705823881802492,2.1692465213334697e-09,4.196267347293119e-05,0,0,100000,100000,True,0.0,0.0,True,0,100000,True,0,100000,True,0,100000,True,0,100000,True,0,100000,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N3_seed0,0.001,2x2x2,KL descent (eta=eps/N),,ok,True,45823,55.12380313873291,45824,-0.8706193452960991,9.997365025091214e-09,0.00011620376938801537,45823,-1,45824,-1,False,0.0005990600126019266,3.6957115849833855e-05,True,5914,5915,True,16528,16529,True,24387,24388,True,32589,32590,False,-1,,False,-1,,random,mixed,0,0.0003333333333333333,eps_over_N
small,-2,small_random_mixed_N3_seed0,0.001,2x2x2,KL descent (eta=eps),,ok,True,15273,18.17574143409729,15274,-0.8706193408186056,9.993973378608439e-09,0.00011618409222958565,15273,-1,15274,-1,False,0.0005989783090612642,3.695263835634677e-05,True,1972,1973,True,5509,5510,True,8129,8130,True,10862,10863,False,-1,,False,-1,,random,mixed,0,0.001,eps
small,-2,small_random_mixed_N3_seed0,0.001,2x2x2,MD-Sinkhorn (M=1),1,ok,True,13035,26.650672674179077,36815,-0.8706107539864691,1.4919161407878556e-08,9.999380883656918e-05,-1,13035,-1,36815,False,0.0006404447195094875,2.8365806219898815e-05,True,1902,5707,True,4780,14341,True,6993,20980,True,9498,28495,True,13035,36815,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N3_seed0,0.001,2x2x2,MD-Sinkhorn (M=2),2,ok,True,6743,21.156394243240356,34709,-0.8706128582685888,1.2148323659597597e-08,9.995493231124554e-05,-1,6743,-1,34709,False,0.0006128482434744333,3.047008833956255e-05,True,1136,6817,True,2550,15301,True,3663,21979,True,4902,27767,True,6743,34709,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N3_seed0,0.001,2x2x2,MD-Sinkhorn (M=5),5,ok,True,3286,22.83476758003235,43905,-0.8706155929762077,1.3984131295290429e-08,9.985950605898852e-05,-1,3286,-1,43905,False,0.00043239573727911224,3.32047959584747e-05,True,743,11146,True,1359,20386,True,1848,27721,True,2297,34456,True,3286,43905,False,-1,,random,mixed,0,,
