experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,L-BFGS entropy dual,,ok,False,100000,16.010738849639893,100000,-0.9340648025236127,4.3859384097527545e-09,9.235409434297858e-05,0,0,100000,100000,True,0.0,0.0,True,0,100000,True,0,100000,True,0,100000,True,0,100000,True,0,100000,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,KL descent (eta=eps/N),,ok,True,29429,35.95282864570618,29430,-0.9340651037294988,1.0806255957894627e-08,9.999768167867629e-05,-1,29429,-1,29430,False,0.0003546463291498536,3.0120588612181365e-07,True,99,100,True,106,107,True,5804,5805,True,13644,13645,True,29429,29430,False,-1,,ising,mixed,0,0.0003333333333333333,eps_over_N
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,KL descent (eta=eps),,ok,True,9809,11.752166271209717,9810,-0.9340651026025477,1.0799041250202289e-08,9.996428861308582e-05,-1,9809,-1,9810,False,0.00035453155457806896,3.0007893503380956e-07,True,32,33,True,34,35,True,1935,1936,True,4548,4549,True,9809,9810,False,-1,,ising,mixed,0,0.001,eps
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,MD-Sinkhorn (M=1),1,ok,True,9746,18.42626667022705,23905,-0.9340621354681387,1.5703218856496994e-08,9.995705913307118e-05,-1,9746,-1,23905,False,0.0003942327512311159,2.6670554740260144e-06,True,32,97,True,34,103,True,1933,5574,True,4549,12641,True,9746,23905,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,MD-Sinkhorn (M=2),2,ok,True,4877,14.398952960968018,22837,-0.9340622986703919,1.525943062072278e-08,9.996061299216707e-05,-1,4877,-1,22837,False,0.0003917029225765732,2.503853220758856e-06,True,16,97,True,17,103,True,968,5107,True,2279,11646,True,4877,22837,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,MD-Sinkhorn (M=5),5,ok,True,1958,11.703736305236816,21860,-0.934062361236738,1.5084729044546365e-08,9.988097767715809e-05,-1,1958,-1,21860,False,0.0003906290512497413,2.4412868746548355e-06,True,7,106,True,7,106,True,390,4666,True,917,10848,True,1958,21860,False,-1,,ising,mixed,0,,
