experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,False,2,2.3889474868774414,2,-0.9642319696776205,0.10063978162218634,0.4067862520470228,-1,-1,-1,-1,True,0.0,0.0,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,KL descent,,ok,False,3000,3.8794801235198975,3001,-0.940452815784221,0.38920007191454276,0.5636531420151842,-1,-1,-1,-1,False,0.7604529585243706,0.023779153893399463,True,519,520,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,1,0.003517627716064453,5,-0.9819797775805217,0.03096366256019296,0.23229895101481363,-1,-1,-1,-1,False,0.39313185097924674,0.017747807902901203,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,1,0.008533000946044922,9,-0.9819796118608018,0.03085332227903075,0.2315942111565179,-1,-1,-1,-1,False,0.392437851613522,0.017747642183181367,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,1,0.021224021911621094,21,-0.981978517527123,0.030539708165580406,0.22955629917928838,-1,-1,-1,-1,False,0.39042950066526116,0.01774654784950247,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,False,2,0.003016948699951172,2,-0.8137123187511023,0.17191547539899416,0.37582912511410255,-1,-1,-1,-1,True,0.0,0.0,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,KL descent,,ok,True,2934,11.268169641494751,2935,-0.836330675357013,9.99057471831932e-09,8.721395976379626e-05,2934,-1,2935,-1,False,0.9125443544896612,0.022618356605910717,True,346,347,True,717,718,True,1147,1148,True,1658,1659,True,2856,2857,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,1,0.00950169563293457,5,-0.9269628715445992,0.43410542755369097,0.6024617134460489,-1,-1,-1,-1,False,1.3179518407526198,0.11325055279349694,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,1,0.014071941375732422,9,-0.9269588772276771,0.43145779834851533,0.6012546499143798,-1,-1,-1,-1,False,1.3165724409483786,0.11324655847657483,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,1,0.04862260818481445,21,-0.9269308740251623,0.42355302976556586,0.5976240705599476,-1,-1,-1,-1,False,1.3123253912330701,0.11321855527406,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
