small_kind,small_case,N,seed,eps,method,mode,phase,iter,local_gibbs_calls,warmup_gibbs_calls,total_gibbs_calls,time_sec,F_marg,e_tr,converged_final
ising,mixed,3,0,0.001,KL eta=eps,warm_matched,target_eps,0,1,19,20,0.0,0.36384597259395635,0.7670912300253129,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,0,1,0,1,0.0011157989501953125,0.3743244687109914,0.7761635254068233,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,1,4,0,4,0.0020830631256103516,0.37312304021707016,0.7751831535225271,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,2,7,0,7,0.003096342086791992,0.371917638871664,0.7741963194200854,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,3,10,0,10,0.00508427619934082,0.37070829114749526,0.7732030026449217,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,4,13,0,13,0.006090879440307617,0.36949502422275265,0.7722031831538817,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,5,16,0,16,0.007105350494384766,0.3682778659844989,0.771196841324901,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,6,19,0,19,0.00806570053100586,0.36705684503188035,0.7701839579666919,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,7,20,0,20,0.009053230285644531,0.365844763384193,0.7691643866714654,False
ising,mixed,3,0,1.0,MD M=1,warm_matched,warmup_stage,0,7,19,7,0.00403285026550293,5.294226299389201e-07,0.0007299291457479873,False
ising,mixed,3,0,0.1,MD M=1,warm_matched,warmup_stage,1,19,19,19,0.00999307632446289,0.029862392929147094,0.18367160720372516,False
ising,mixed,3,0,0.001,MD M=1,warm_matched,target_eps,0,1,19,20,0.0009586811065673828,0.41873371895767864,0.7987517353028395,False
ising,mixed,3,0,0.001,MD M=2,cold,target_eps,0,1,0,1,0.0,0.3743244687109914,0.7761635254068233,False
ising,mixed,3,0,0.001,MD M=2,cold,target_eps,1,7,0,7,0.0029947757720947266,0.3719177641594705,0.774196458230606,False
ising,mixed,3,0,0.001,MD M=2,cold,target_eps,2,13,0,13,0.005051612854003906,0.3694952807113293,0.7722034673742322,False
ising,mixed,3,0,0.001,MD M=2,cold,target_eps,3,19,0,19,0.007046699523925781,0.36705723872443896,0.7701843944156362,False
ising,mixed,3,0,0.001,MD M=2,cold,target_eps,4,20,0,20,0.007046699523925781,0.3658451586677189,0.7691648261282006,False
ising,mixed,3,0,1.0,MD M=2,warm_matched,warmup_stage,0,13,19,13,0.005046844482421875,8.256835320525562e-07,0.001088145023907916,False
ising,mixed,3,0,0.1,MD M=2,warm_matched,warmup_stage,1,19,19,19,0.008014202117919922,0.08419675784516374,0.2893652147958626,False
ising,mixed,3,0,0.001,MD M=2,warm_matched,target_eps,0,1,19,20,0.0010356903076171875,0.4981626677425349,0.8203021640150338,False
ising,mixed,3,0,0.001,MD M=5,cold,target_eps,0,1,0,1,0.0010025501251220703,0.3743244687109914,0.7761635254068233,False
ising,mixed,3,0,0.001,MD M=5,cold,target_eps,1,16,0,16,0.004918575286865234,0.3682791741066699,0.7711982873857408,False
ising,mixed,3,0,0.001,MD M=5,cold,target_eps,2,20,0,20,0.006953001022338867,0.36342320993488103,0.7671066247234567,False
ising,mixed,3,0,1.0,MD M=5,warm_matched,warmup_stage,0,17,19,17,0.00621485710144043,7.409163926734007e-07,0.0009168355865284417,False
ising,mixed,3,0,0.1,MD M=5,warm_matched,warmup_stage,1,19,19,19,0.008254528045654297,0.16615824606766322,0.3945863295378362,False
ising,mixed,3,0,0.001,MD M=5,warm_matched,target_eps,0,1,19,20,0.0009889602661132812,0.6154855677568887,0.8453151466596912,False
