method,mode,eps_final,converged,iters,gibbs_calls,time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,stage_gibbs_calls,stage_iters,eps_schedule,instance,N,kind,case,seed,max_inner
KL descent,cold,0.001,False,2000,2001,7.486770153045654,0.0009859928665639434,0.03307439025034343,0.06426149670820419,-0.8777616968283355,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000
KL descent,warm,0.001,False,2856,2861,10.03025221824646,1.433131731984192e-06,0.0013892747218695284,0.0026949906887226817,-0.870891466990616,6;44;809;2002,4;42;807;2000,1.0;0.1;0.01;0.001,small_random_mixed_N3_seed0,3,random,mixed,0,2000
MD-Sinkhorn (M=1),cold,0.001,False,2000,6001,12.145617246627808,0.0009414452925460097,0.0376655664942906,0.06442762179221052,-0.8784133741845394,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000
MD-Sinkhorn (M=1),warm,0.001,False,2000,6001,9.695181608200073,1.620035431313343e-07,0.0005252316152318554,0.0007746453212514121,-0.870708350641193,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000
MD-Sinkhorn (M=2),cold,0.001,False,2000,12001,16.943761587142944,0.0002748927461615378,0.021279719589015592,0.034951226821832854,-0.8753074054772914,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000
MD-Sinkhorn (M=2),warm,0.001,False,2000,10529,16.57905602455139,2.0979072061038665e-08,0.00018818814360593747,0.0002959887913442269,-0.8706330431406542,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000
