small_kind,small_case,N,seed,eps,method,mode,phase,iter,local_gibbs_calls,warmup_gibbs_calls,total_gibbs_calls,time_sec,F_marg,e_tr,dual_value,converged_final
ising,mixed,3,0,0.001,KL eta=eps,cold,target_eps,16,17,0,17,0.011000871658325195,0.35463907640440423,0.7596893712385293,-0.945677238402579,False
ising,mixed,3,0,0.001,KL eta=eps,cold,target_eps,17,18,0,18,0.01200103759765625,0.353377518807803,0.7586032415837252,-0.9447966270239955,False
ising,mixed,3,0,0.001,KL eta=eps,cold,target_eps,18,19,0,19,0.01300954818725586,0.35211249396147487,0.7575103724882937,-0.9439201640575701,False
ising,mixed,3,0,0.001,KL eta=eps,cold,target_eps,19,20,0,20,0.01300954818725586,0.3508440320662657,0.7564107443596597,-0.9430478480955499,False
ising,mixed,3,0,1.0,KL eta=eps,warm_matched,warmup_stage,0,3,19,3,0.003020048141479492,3.9866694603366836e-05,0.0076072191312388515,-2.280046703827369,False
ising,mixed,3,0,0.1,KL eta=eps,warm_matched,warmup_stage,1,19,19,19,0.014979839324951172,0.00038866365168662077,0.022712241101433606,-1.0048332516573695,False
ising,mixed,3,0,0.001,KL eta=eps,warm_matched,target_eps,0,1,19,20,0.0,0.36384597259395635,0.7670912300253129,-0.9412602284282389,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,0,1,0,1,0.0010333061218261719,0.3743244687109914,0.7761635254068233,-0.9603319368330046,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,1,4,0,4,0.0020761489868164062,0.37312304021707016,0.7751831535225271,-0.9593848488601964,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,2,7,0,7,0.0030024051666259766,0.371917638871664,0.7741963194200854,-0.9584419168803768,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,3,10,0,10,0.00506591796875,0.37070829114749526,0.7732030026449217,-0.957503141149272,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,4,13,0,13,0.006186485290527344,0.36949502422275265,0.7722031831538817,-0.9565685218247129,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,5,16,0,16,0.0071833133697509766,0.3682778659844989,0.771196841324901,-0.9556380589656736,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,6,19,0,19,0.009096622467041016,0.36705684503188035,0.7701839579666919,-0.9547117525313061,False
ising,mixed,3,0,0.001,MD M=1,cold,target_eps,7,20,0,20,0.009096622467041016,0.365844763384193,0.7691643866714654,-0.9537952346687679,False
