experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,eta,eta_rule,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,KL descent (eta=eps/N),,ok,False,19,0.016000986099243164,20,-0.9603073928196794,0.3666565802735736,0.7698510951847978,-1,-1,-1,-1,,,,0.0003333333333333333,eps_over_N,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,MD-Sinkhorn (M=1),1,ok,False,7,0.011000394821166992,20,-0.9603019132605599,0.365844763384193,0.7691643866714654,-1,-1,-1,-1,,,,,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
