N,d,seed,eps,T_outer,eta_inner,M_inner,M_ref,converged,final_e_tr,gibbs_calls,ref_converged,same_limit_vs_ref,dist_pi_vs_ref
2,4,0,0.5,3000,1.0,1,1,True,8.35795801315737e-09,65,True,True,0.0
2,4,1,0.5,3000,1.0,1,1,True,9.04099157158393e-09,154,True,True,0.0
2,4,2,0.5,3000,1.0,1,1,True,7.372847329883035e-09,54,True,True,0.0
2,4,3,0.5,3000,1.0,1,1,True,9.268536593453914e-09,148,True,True,0.0
2,4,4,0.5,3000,1.0,1,1,True,8.158969242542788e-09,46,True,True,0.0
2,4,0,0.5,3000,1.0,2,1,True,8.589284290051315e-09,63,True,True,1.3317389436748144e-09
2,4,1,0.5,3000,1.0,2,1,True,8.980565728523143e-09,148,True,True,8.453222243183943e-10
2,4,2,0.5,3000,1.0,2,1,True,7.738090341287493e-09,54,True,True,2.752825249197054e-09
2,4,3,0.5,3000,1.0,2,1,True,8.742757047740459e-09,145,True,True,1.1832186057961521e-08
2,4,4,0.5,3000,1.0,2,1,True,7.989518797450619e-09,43,True,True,3.422606249429346e-09
2,4,0,0.5,3000,1.0,3,1,True,9.20362818734124e-09,62,True,True,4.6683129869626224e-09
2,4,1,0.5,3000,1.0,3,1,True,8.84381694083203e-09,141,True,True,4.7077456277930765e-09
2,4,2,0.5,3000,1.0,3,1,True,6.217113673385221e-09,58,True,True,1.7064822951044805e-08
2,4,3,0.5,3000,1.0,3,1,True,9.54918268391747e-09,141,True,True,2.024711913519705e-08
2,4,4,0.5,3000,1.0,3,1,True,5.911119808513672e-09,51,True,True,3.2048918065495074e-08
