experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,wasserstein_case,d
wasserstein,-3,wasserstein_WP_d10,0.001,10x10,L-BFGS entropy dual,,ok,False,2,11.876845598220825,2,1.0000000000000209,1.0346059296603756e-13,9.65047068864493e-08,0,-1,2,-1,True,0.0,0.0,True,0,2,True,0,2,True,0,2,True,0,2,True,0,2,True,0,2,WP,10
wasserstein,-3,wasserstein_WP_d10,0.001,10x10,KL descent,,ok,False,1,2.1460721492767334,2,0.7150999843168653,42.24270177514333,1.9999999979819996,-1,-1,-1,-1,False,1.999999999800005,0.2849000156831556,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,WP,10
wasserstein,-3,wasserstein_WP_d10,0.001,10x10,MD-Sinkhorn (M=1),1,ok,False,1,2.363748788833618,3,0.7151000301894761,42.24264064376044,1.9999999979819996,-1,-1,-1,-1,False,1.9999999998000049,0.2848999698105448,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,WP,10
