experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_dual_value,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,dual_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,L-BFGS entropy dual,,ok,False,20,1.9675829410552979,20,-0.9334772619802466,-0.9347580914534397,0.007610284112246669,0.09418989633739874,-1,-1,-1,-1,True,0.0,0.0,0.0,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,KL descent (eta=eps/N),,ok,False,19,0.016547203063964844,20,-0.9603073928196794,-0.9544100294759139,0.3666565802735736,0.7698510951847978,-1,-1,-1,-1,False,0.9713407136007818,0.026830130839432753,-0.019651938022474225,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,0.0003333333333333333,eps_over_N
small,-2,small_ising_mixed_N3_seed0,0.001,2x2x2,MD-Sinkhorn (M=1),1,ok,False,7,0.00898432731628418,20,-0.9603019132605599,-0.9537952346687679,0.365844763384193,0.7691643866714654,-1,-1,-1,-1,False,0.9712540477646678,0.026824651280313305,-0.019037143215328234,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
