method,mode,eps_final,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,stage_gibbs_calls,stage_iters,eps_schedule,instance,N,kind,case,seed,max_inner,warm_method,warm_M
KL descent,cold,0.001,False,2000,2001,0,2001,8.813629150390625,0.0,8.813629150390625,0.0009859928665639434,0.03307439025034343,0.06426149670820419,-0.8777616968283355,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000,kl,1
KL descent,warm_by_kl,0.001,False,2000,2001,2861,4862,7.476277589797974,11.59256625175476,19.068843841552734,2.049291059231926e-07,0.0005274227220427688,0.0010084090030278508,-0.8707101678662637,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000,kl,1
MD-Sinkhorn (M=1),cold,0.001,False,2000,6001,0,6001,12.313499450683594,0.0,12.313499450683594,0.0009414452925460097,0.0376655664942906,0.06442762179221052,-0.8784133741845394,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000,kl,1
MD-Sinkhorn (M=1),warm_by_kl,0.001,False,2000,6001,2861,8862,13.20306396484375,11.59256625175476,24.79563021659851,1.620035431313343e-07,0.0005252316152318554,0.0007746453212514121,-0.870708350641193,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000,kl,1
MD-Sinkhorn (M=2),cold,0.001,False,2000,12001,0,12001,17.559540271759033,0.0,17.559540271759033,0.0002748927461615378,0.021279719589015592,0.034951226821832854,-0.8753074054772914,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000,kl,1
MD-Sinkhorn (M=2),warm_by_kl,0.001,False,2000,10529,2861,13390,22.54984474182129,11.59256625175476,34.14241099357605,2.0979072061038665e-08,0.00018818814360593747,0.0002959887913442269,-0.8706330431406542,,,,small_random_mixed_N3_seed0,3,random,mixed,0,2000,kl,1
