N,d,seed,eps,T_outer,eta_inner,M_inner,M_ref,converged,final_e_tr,gibbs_calls,ref_converged,same_limit_vs_ref,dist_pi_vs_ref
2,7,0,0.5,3000,1.0,1,1,True,5.7534881982914274e-09,46,True,True,0.0
2,7,1,0.5,3000,1.0,1,1,True,9.952288375078181e-09,249,True,True,0.0
2,7,2,0.5,3000,1.0,1,1,True,8.96089459675931e-09,169,True,True,0.0
2,7,3,0.5,3000,1.0,1,1,True,9.863153493726538e-09,193,True,True,0.0
2,7,4,0.5,3000,1.0,1,1,True,9.984758143787369e-09,298,True,True,0.0
2,7,0,0.5,3000,1.0,2,1,True,6.139880467134153e-09,46,True,True,3.4272990300090956e-09
2,7,1,0.5,3000,1.0,2,1,True,9.220312381506375e-09,239,True,True,5.162264348287499e-09
2,7,2,0.5,3000,1.0,2,1,True,8.977538952763237e-09,163,True,True,7.601918278472742e-09
2,7,3,0.5,3000,1.0,2,1,True,9.902351294405023e-09,188,True,True,3.374004033976662e-09
2,7,4,0.5,3000,1.0,2,1,True,9.960402491119272e-09,288,True,True,6.998012389182747e-09
2,7,0,0.5,3000,1.0,3,1,True,7.465232678710456e-09,47,True,True,5.656959913369394e-09
2,7,1,0.5,3000,1.0,3,1,True,9.926056654155525e-09,230,True,True,1.4861650429980968e-08
2,7,2,0.5,3000,1.0,3,1,True,9.007272330148985e-09,160,True,True,7.473628696394575e-09
2,7,3,0.5,3000,1.0,3,1,True,9.950218971937155e-09,186,True,True,5.8168869898874875e-09
2,7,4,0.5,3000,1.0,3,1,True,9.92270585919754e-09,279,True,True,6.903469688132132e-09
