method,wall_time_sec,gibbs_calls,sec_per_1k_gibbs,final_Fmarg,final_trace_err
Alg. 2.2,4.396392900000137,15002,0.29305378616185424,1.2877962376363542e-05,0.0011744621918266052
KL descent,0.005102200000692392,10,0.5102200000692392,3.0576078618110025e-13,5.963705298003863e-07
MD-Sinkhorn (inner steps=1),0.005761599999459577,14,0.4115428571042555,1.3898508948444893e-12,3.8709978475443015e-07
MD-Sinkhorn (inner steps=5),0.010267899999234942,31,0.331222580620482,3.5335582427396e-13,7.142903791886973e-07
MD-Sinkhorn (inner steps=10),0.012753999999404186,34,0.37511764704129963,3.5302428197293797e-13,7.143290090950731e-07
