experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,True,492,3.16564679145813,492,-0.8363270942596106,2.746799715088008e-13,5.234815414631098e-07,0,0,492,492,True,0.0,0.0,True,0,492,True,0,492,True,0,492,True,0,492,True,0,492,True,0,492,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,KL descent (eta=eps/N),,ok,True,22858,23.223745584487915,22859,-0.836331364619342,1.2932390733143741e-08,9.999229768769278e-05,-1,22858,-1,22859,False,0.0002883603950339614,4.270359731384232e-06,True,2770,2771,True,5734,5735,True,9182,9183,True,13273,13274,True,22858,22859,False,-1,,random,mixed,0,0.00025,eps_over_N
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,KL descent (eta=eps),,ok,True,5714,5.832763671875,5715,-0.8363313567697453,1.2918468921391416e-08,9.99145972234277e-05,-1,5714,-1,5715,False,0.00028817011327427795,4.262510134744879e-06,True,693,694,True,1433,1434,True,2295,2296,True,3317,3318,True,5714,5715,False,-1,,random,mixed,0,0.001,eps
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,True,4930,11.085633754730225,18528,-0.8363278414206743,1.8954973184174802e-08,9.963384326479134e-05,-1,4930,-1,18528,False,0.00034263917095020413,7.47161063685553e-07,True,663,2653,True,1337,5349,True,2092,8369,True,2999,11997,True,4930,18528,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,True,2515,9.916183710098267,18699,-0.8363313592960505,1.9149760591922332e-08,9.905658623532413e-05,-1,2515,-1,18699,False,0.0003534066172655914,4.265036439909942e-06,True,347,2777,True,717,5737,True,1108,8865,True,1575,12601,True,2515,18699,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,True,1073,8.953730583190918,18732,-0.8363351363219076,1.9914420741293394e-08,9.961971957106298e-05,-1,1073,-1,18732,False,0.0003335414516005261,8.042062296986785e-06,True,194,3881,True,394,7881,True,568,11361,True,748,14961,True,1073,18732,False,-1,,random,mixed,0,,
