experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_entropic_primal,final_linear_cost,final_entropy,final_dual_value,final_primal_dual_gap,final_state_path,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,dual_gap_to_lbfgs,lbfgs_run_mode,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed
small,-2,small_ising_mixed_N4_seed0,1e-07,2x2x2x2,L-BFGS entropy dual (fixed budget),,ok,False,150000,51.046085357666016,1490619,-0.9750156845264414,-0.9750156845264414,-0.9750156845264322,-9.253662662423294e-08,-0.9349955124402989,-0.0400201720861425,results/hpc_standard_qubit_eps_N4_lbfgs150k_rerun/final_states/lbfgs/N4/small__small_ising_mixed_N4_seed0__eps1e-07__L-BFGS_entropy_dual_fixed_budget.npz,0.05245871068978153,0.3495427668094635,-1,-1,-1,-1,True,0.0,0.0,0.0,fixed_budget,,,,,,,,,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,1e-07,2x2x2x2,L-BFGS entropy dual (first hit),,ok,False,150000,,1490619,,,,,,,,,0.3495427668094635,,-1,,-1,,,,,,,,,,,,,,,False,-1,,False,-1,,False,-1,,ising,mixed,0
