experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_dual_value,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,dual_gap_to_lbfgs,lbfgs_run_mode,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_random_mixed_N4_seed0,1e-09,2x2x2x2,L-BFGS entropy dual (fixed budget),,ok,False,100000,16.68719220161438,513066,-0.8185680555835608,-0.8363271398402299,0.1359748713994707,0.30435001850128174,-1,-1,-1,-1,True,0.0,0.0,0.0,fixed_budget,,,,,,,,,,False,-1,,False,-1,,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,1e-09,2x2x2x2,L-BFGS entropy dual (first hit),,ok,False,100000,,513066,,,,0.30435001850128174,,-1,,-1,,,,,,,,,,,,,,,False,-1,,False,-1,,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,1e-09,2x2x2x2,KL descent (eta=eps/N),,ok,False,999999,997.9945707321167,1000000,-0.9269641193025953,-0.9267293234007098,0.4360962014462113,0.603366336905024,-1,-1,-1,-1,False,1.3583337285774975,0.10839606371903443,-0.09040218356047991,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,2.5e-10,eps_over_N
small,-2,small_random_mixed_N4_seed0,1e-09,2x2x2x2,KL descent (eta=eps),,ok,False,999999,993.8989701271057,1000000,-0.9269628754145309,-0.9260269968220252,0.43410928117582476,0.6024629688715184,-1,-1,-1,-1,False,1.358926975563583,0.1083948198309701,-0.08969985698179528,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,1e-09,eps
small,-2,small_random_mixed_N4_seed0,1e-09,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,250000,537.9097068309784,1000000,-0.926964119302577,-0.926729323360507,0.43609620137335015,0.6033663367343928,-1,-1,-1,-1,False,1.3583337284122314,0.10839606371901622,-0.09040218352027707,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,1e-09,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,125000,471.8279688358307,1000000,-0.926964119302577,-0.9267293233605002,0.4360962013731318,0.603366336734378,-1,-1,-1,-1,False,1.358333728412588,0.10839606371901622,-0.0904021835202703,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,1e-09,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,50000,432.5280237197876,1000000,-0.9269641193025767,-0.9267293233604799,0.4360962013724786,0.6033663367343346,-1,-1,-1,-1,False,1.3583337284136663,0.10839606371901589,-0.09040218352024998,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,,
