experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_dual_value,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,dual_gap_to_lbfgs,lbfgs_run_mode,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_random_mixed_N4_seed0,1e-12,2x2x2x2,L-BFGS entropy dual (fixed budget),,ok,False,100000,26.299036026000977,558330,-0.8225643793898012,-0.836327201368502,0.13413614066624419,0.33082830905914307,-1,-1,-1,-1,True,0.0,0.0,0.0,fixed_budget,,,,,,,,,,False,-1,,False,-1,,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,1e-12,2x2x2x2,L-BFGS entropy dual (first hit),,ok,False,100000,,558330,,,,0.33082830905914307,,-1,,-1,,,,,,,,,,,,,,,False,-1,,False,-1,,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,1e-12,2x2x2x2,KL descent (eta=eps/N),,ok,False,999999,1193.364145040512,1000000,-0.9269642022464757,-0.926963968673471,0.4367588778646466,0.6036669918351854,-1,-1,-1,-1,False,1.330125642274746,0.10439982285667448,-0.09063676730496895,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,2.5e-13,eps_over_N
small,-2,small_random_mixed_N4_seed0,1e-12,2x2x2x2,KL descent (eta=eps),,ok,False,999999,993.1407914161682,1000000,-0.9269642022452314,-0.9269632634559327,0.4367568870710808,0.6036660890908081,-1,-1,-1,-1,False,1.3301262342378597,0.10439982285543015,-0.09063606208743069,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,1e-12,eps
small,-2,small_random_mixed_N4_seed0,1e-12,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,250000,562.4303257465363,1000000,-0.9269642022464754,-0.9269639686734307,0.4367588778645749,0.6036669918350145,-1,-1,-1,-1,False,1.3301256422745782,0.10439982285667415,-0.09063676730492864,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,1e-12,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,125000,496.30430793762207,1000000,-0.9269642022464754,-0.9269639686734307,0.4367588778645749,0.6036669918350145,-1,-1,-1,-1,False,1.3301256422745782,0.10439982285667415,-0.09063676730492864,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,1e-12,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,50000,454.7345254421234,1000000,-0.9269642022464757,-0.9269639686734307,0.43675887786457507,0.6036669918350144,-1,-1,-1,-1,False,1.33012564227458,0.10439982285667448,-0.09063676730492864,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,,
