experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_dual_value,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,dual_gap_to_lbfgs,lbfgs_run_mode,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_ising_mixed_N4_seed0,1e-09,2x2x2x2,L-BFGS entropy dual (fixed budget),,ok,False,100000,33.34250020980835,933759,-0.8969264496363012,-0.9349945753809612,0.9103118915553388,0.7676909565925598,-1,-1,-1,-1,True,0.0,0.0,0.0,fixed_budget,,,,,,,,,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,1e-09,2x2x2x2,L-BFGS entropy dual (first hit),,ok,False,100000,,933759,,,,0.7676909565925598,,-1,,-1,,,,,,,,,,,,,,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,1e-09,2x2x2x2,KL descent (eta=eps/N),,ok,False,999999,1447.4055545330048,1000000,-0.9819798305855242,-0.9819642938530367,0.031048444118314273,0.23283624689940619,-1,-1,-1,-1,False,1.1301725011931822,0.08505338094922299,-0.04696971847207554,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,2.5e-10,eps_over_N
small,-2,small_ising_mixed_N4_seed0,1e-09,2x2x2x2,KL descent (eta=eps),,ok,False,999999,1448.0552763938904,1000000,-0.9819797773584007,-0.9819177547240284,0.0309634413299907,0.23229747617233226,-1,-1,-1,-1,False,1.1301418868128934,0.0850533277220995,-0.04692317934306722,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,1e-09,eps
small,-2,small_ising_mixed_N4_seed0,1e-09,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,250000,807.6147346496582,1000000,-0.9819798305855182,-0.981964293837709,0.03104844409335036,0.23283624673758074,-1,-1,-1,-1,False,1.130172501184925,0.085053380949217,-0.0469697184567478,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,1e-09,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,125000,699.5379571914673,1000000,-0.9819798305855183,-0.9819642938377092,0.031048444093475357,0.23283624673838826,-1,-1,-1,-1,False,1.1301725011849642,0.0850533809492171,-0.04696971845674802,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,1e-09,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,50000,628.9344544410706,1000000,-0.9819798305855183,-0.9819642938377103,0.03104844409385088,0.23283624674081188,-1,-1,-1,-1,False,1.1301725011850814,0.0850533809492171,-0.04696971845674913,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
