experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_dual_value,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,dual_gap_to_lbfgs,lbfgs_run_mode,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_ising_mixed_N4_seed0,1e-06,2x2x2x2,L-BFGS entropy dual (fixed budget),,ok,False,100000,30.638636350631714,683073,-0.9253476379494661,-0.9349936398342276,0.006664387015572549,0.05252913385629654,-1,-1,-1,-1,True,0.0,0.0,0.0,fixed_budget,,,,,,,,,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,1e-06,2x2x2x2,L-BFGS entropy dual (first hit),,ok,False,100000,,683073,,,,0.05252913385629654,,-1,,-1,,,,,,,,,,,,,,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,1e-06,2x2x2x2,KL descent (eta=eps/N),,ok,False,999999,1695.9096982479095,1000000,-0.9813075479608985,-0.9690769098803383,0.024026319184385223,0.16048091101125267,-1,-1,-1,-1,False,0.4355557254144236,0.05595991001143241,-0.03408327004611078,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,2.5e-07,eps_over_N
small,-2,small_ising_mixed_N4_seed0,1e-06,2x2x2x2,KL descent (eta=eps),,ok,False,999999,1642.0066285133362,1000000,-0.978027130705207,-0.9365340778454437,0.019365536424404764,0.14001804521524797,-1,-1,-1,-1,False,0.4195400413852609,0.05267949275574091,-0.001540438011216172,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,1e-06,eps
small,-2,small_ising_mixed_N4_seed0,1e-06,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,250000,912.3756151199341,1000000,-0.9813075506218177,-0.9690768663071541,0.024026318491881606,0.16048115693475712,-1,-1,-1,-1,False,0.4355556976047764,0.055959912672351675,-0.0340832264729265,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,1e-06,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,125000,795.8913857936859,1000000,-0.9813075551704535,-0.9690768619249883,0.024026323053448657,0.16048146920307732,-1,-1,-1,-1,False,0.4355556937683642,0.055959917220987476,-0.034083222090760756,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,1e-06,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,50000,726.6584148406982,1000000,-0.9813075688162456,-0.9690768487791619,0.024026336739379046,0.160482406007947,-1,-1,-1,-1,False,0.4355556822613641,0.05595993086677953,-0.03408320894493433,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
