experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_entropic_primal,final_linear_cost,final_entropy,final_dual_value,final_primal_dual_gap,final_state_path,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,dual_gap_to_lbfgs,lbfgs_run_mode,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed
small,-2,small_ising_mixed_N4_seed0,1e-07,2x2x2x2,L-BFGS entropy dual (fixed budget),,ok,False,10000,3.3296375274658203,58486,-0.9469084965364459,-0.9469084965364459,-0.946908460003026,-0.3653341997157047,-0.9349933546890485,-0.011915141847397392,results/hpc_standard_qubit_eps_N4/final_states/lbfgs/N4/small__small_ising_mixed_N4_seed0__eps1e-07__L-BFGS_entropy_dual_fixed_budget.npz,0.003521364832902056,0.5447895526885986,-1,-1,-1,-1,True,0.0,0.0,0.0,fixed_budget,,,,,,,,,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,1e-07,2x2x2x2,L-BFGS entropy dual (first hit),,ok,False,10000,,58486,,,,,,,,,0.5447895526885986,,-1,,-1,,,,,,,,,,,,,,,False,-1,,False,-1,,False,-1,,ising,mixed,0
