experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule,source_file,source_root,wasserstein_case,d
small,-2,small_ising_mixed_N4_seed0,1e-12,2x2x2x2,L-BFGS entropy dual,,ok,False,100000,32.24360775947571,100000,-0.9775138317248376,0.0198960915937176,0.1536411071369201,-1,-1,-1,-1,True,0.0,0.0,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0.0,,,hpc_qubit_eps/N4/ising_mixed_seed0_all_eps1em12.csv,cold,,
small,-2,small_ising_mixed_N4_seed0,1e-12,2x2x2x2,KL descent (eta=eps/N),,ok,False,100000,92.04631543159483,100001,-0.9819798341599216,0.0310770360771398,0.2330166391858863,-1,-1,-1,-1,False,0.1437650163640896,0.0044660024350841,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0.0,2.5e-13,eps_over_N,hpc_qubit_eps/N4/ising_mixed_seed0_all_eps1em12.csv,cold,,
small,-2,small_ising_mixed_N4_seed0,1e-12,2x2x2x2,KL descent (eta=eps),,ok,False,100000,92.69396209716795,100001,-0.9819798341599212,0.0310770274790263,0.2330165850010679,-1,-1,-1,-1,False,0.1437649822501429,0.0044660024350837,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0.0,1e-12,eps,hpc_qubit_eps/N4/ising_mixed_seed0_all_eps1em12.csv,cold,,
small,-2,small_ising_mixed_N4_seed0,1e-12,2x2x2x2,MD-Sinkhorn (M=1),1.0,ok,False,100000,211.0699207782745,400001,-0.9819798341599212,0.0310770274790262,0.2330165850010671,-1,-1,-1,-1,False,0.1437649822501426,0.0044660024350835,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0.0,,,hpc_qubit_eps/N4/ising_mixed_seed0_all_eps1em12.csv,cold,,
small,-2,small_ising_mixed_N4_seed0,1e-12,2x2x2x2,MD-Sinkhorn (M=2),2.0,ok,False,100000,372.9999678134918,800001,-0.9819798341599196,0.0310770160148927,0.2330165127546969,-1,-1,-1,-1,False,0.1437649367649313,0.0044660024350822,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0.0,,,hpc_qubit_eps/N4/ising_mixed_seed0_all_eps1em12.csv,cold,,
small,-2,small_ising_mixed_N4_seed0,1e-12,2x2x2x2,MD-Sinkhorn (M=5),5.0,ok,False,100000,854.6871349811554,2000001,-0.9819798341599074,0.031076981622618,0.2330162960159854,-1,-1,-1,-1,False,0.1437648003096642,0.0044660024350698,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0.0,,,hpc_qubit_eps/N4/ising_mixed_seed0_all_eps1em12.csv,cold,,
small,-2,small_random_mixed_N4_seed0,0.0001,2x2x2x2,L-BFGS entropy dual,,ok,False,100000,31.41603708267212,100000,-0.8362937450224757,1.8089466086512265e-06,0.0011801746339567,-1,-1,-1,-1,True,0.0,0.0,True,0,100000.0,True,0,100000.0,True,0,100000.0,False,-1,,False,-1,,False,-1,,random,mixed,0.0,,,hpc_qubit_eps/N4/random_mixed_seed0_all_eps1em04.csv,cold,,
small,-2,small_random_mixed_N4_seed0,0.0001,2x2x2x2,KL descent (eta=eps/N),,ok,False,100000,94.47781419754028,100001,-0.8365611677889078,6.077396954250289e-06,0.0025526791560201,-1,-1,-1,-1,False,0.0072170285835479,0.0002674227664321,True,27777,27778.0,True,57444,57445.0,True,91933,91934.0,False,-1,,False,-1,,False,-1,,random,mixed,0.0,2.5e-05,eps_over_N,hpc_qubit_eps/N4/random_mixed_seed0_all_eps1em04.csv,cold,,
small,-2,small_random_mixed_N4_seed0,0.0001,2x2x2x2,KL descent (eta=eps),,ok,True,58746,55.63416934013367,58747,-0.8363308180244092,9.99941617852946e-09,8.728105843357145e-05,58746,-1,58747,-1,False,0.0041212433338634,3.7073001933563e-05,True,6944,6945.0,True,14361,14362.0,True,22983,22984.0,True,33213,33214.0,True,57186,57187.0,False,-1,,random,mixed,0.0,0.0001,eps,hpc_qubit_eps/N4/random_mixed_seed0_all_eps1em04.csv,cold,,
small,-2,small_random_mixed_N4_seed0,0.0001,2x2x2x2,MD-Sinkhorn (M=1),1.0,ok,False,100000,130.3961796760559,186015,-0.8363278696674161,1.900335553491628e-08,9.997242778223472e-05,-1,-1,-1,-1,False,0.0040535487980813,3.412464494045864e-05,True,6681,26725.0,True,13434,53737.0,True,21011,84045.0,True,30128,120513.0,True,49537,186015.0,False,-1,,random,mixed,0.0,,,hpc_qubit_eps/N4/random_mixed_seed0_all_eps1em04.csv,cold,,
