method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,stage_gibbs_calls,stage_iters,eps_schedule,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,warm_method,warm_variant,source_file,source_root
KL descent (eta=eps),warm_matched,False,100000,100001,106611,206612,94.47907948493958,100.87585282325745,195.35493230819705,1.5721612130105834e-06,0.0009909276742532,0.0032380962615116,-0.935082809665552,6;138;137;472;1195;1521;1570;1571;100001,5;137;136;471;1194;1520;1569;1570;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
MD-Sinkhorn (M=1),cold,False,100000,400001,0,400001,212.12614846229556,0.0,212.12614846229556,0.0309634412201564,0.2322974754744721,0.3329902965978366,-0.9819797773582896,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,MD-Sinkhorn (M=1),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
MD-Sinkhorn (M=1),warm_matched,False,100000,400001,421505,821506,215.1835086345673,228.05725121498108,443.24075984954834,1.5218883313830771e-06,0.0009927948054072,0.0031839741176222,-0.9350733421639612,13;389;505;1844;4962;6601;6801;393;399997,3;135;128;461;1241;1651;1701;99;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,MD-Sinkhorn (M=1),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
MD-Sinkhorn (M=2),cold,False,100000,800001,0,800001,374.7118875980377,0.0,374.7118875980377,0.0308519047861104,0.2315848203368891,0.3329097186396124,-0.9819796090073292,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,MD-Sinkhorn (M=2),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
MD-Sinkhorn (M=2),warm_matched,False,100000,800001,815856,1615857,381.55743741989136,389.148389339447,770.7058267593384,1.379392523184449e-06,0.0009922293721926,0.0030322082177914,-0.9350615777771902,23;452;497;1879;5313;6933;381;381;799997,3;78;62;235;664;867;48;48;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,MD-Sinkhorn (M=2),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
MD-Sinkhorn (M=5),cold,False,100000,2000001,0,2000001,859.6759445667267,0.0,859.6759445667267,0.0305292738799532,0.2294854320007459,0.3326703273881157,-0.981978464627312,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,MD-Sinkhorn (M=5),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
MD-Sinkhorn (M=5),warm_matched,False,100000,2000001,2016878,4016879,872.415855884552,879.0043325424194,1751.4201884269714,1.1944334899587343e-06,0.0009744510866604,0.0028166767680807,-0.93503421939722,26;645;481;1961;5641;7376;376;376;1999996,3;46;24;98;282;369;19;19;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,MD-Sinkhorn (M=5),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
KL descent (eta=eps/N),cold,False,100000,100001,0,100001,104.2790551185608,0.0,104.2790551185608,0.0310770360771398,0.2330166391858863,0.333071268926704,-0.9819798341599216,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-12,1.0,10.0,100000,matched,KL descent (eta=eps/N),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em12.csv,warm
KL descent (eta=eps/N),warm_matched,False,100000,100001,132507,232508,105.5571768283844,139.6003818511963,245.1575586795807,1.6172711841497972e-06,0.0009810023373358,0.0033110559769644,-0.935074780717274,22;547;551;1884;4791;6106;6294;6313;4604;504;466;424;100001,21;546;550;1883;4790;6105;6293;6312;4603;503;465;423;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08;1e-09;1e-10;1e-11;1e-12,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-12,1.0,10.0,100000,matched,KL descent (eta=eps/N),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em12.csv,warm
KL descent (eta=eps),cold,False,100000,100001,0,100001,104.64645886421204,0.0,104.64645886421204,0.0310770274790263,0.2330165850010679,0.3330712628386743,-0.9819798341599212,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-12,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em12.csv,warm
