method,instances,feasible_rate,median_e_tr,median_F_marg,median_gibbs,median_time_sec,median_obj_gap
L-BFGS entropy dual,8,0.625,3.839206480726637e-05,1.6680837899962686e-09,50563.0,183.1129537820816,0.0
KL descent (eta=eps/N),8,0.875,8.91819476499562e-05,9.999086939431937e-09,36241.0,576.1643463373184,9.125959946398865e-06
KL descent (eta=eps),8,0.75,9.159948024483635e-05,9.991112316759094e-09,7364.5,91.35091602802277,7.501157860245744e-06
MD-Sinkhorn (M=1),8,1.0,9.986368511231644e-05,3.501904546118925e-08,23407.5,514.2682291269302,9.280671777245342e-06
MD-Sinkhorn (M=2),8,1.0,9.991346801513471e-05,3.23362716655092e-08,23647.0,512.2207833528519,9.850150041457173e-06
MD-Sinkhorn (M=5),8,1.0,9.992305654438205e-05,3.603471930456468e-08,26163.0,520.6069233417511,1.0049692902358576e-05
