method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,final_dual_value,stage_gibbs_calls,stage_iters,eps_schedule,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,total_hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,total_hit_tr_gibbs_le_1em04,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,max_gibbs_calls,warm_method,warm_variant
KL descent (eta=eps/N),cold,False,999999,1000000,0,1000000,1105.9899563789368,0.0,1105.9899563789368,0.4367588778646466,0.6036669918351854,1.6777448741155614,-0.9269642022464757,-0.926963968673471,,,,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-12,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps/N),warm_matched,False,998246,998247,1753,1000000,1117.1257588863373,1.9653511047363281,1119.0911099910736,0.00012467792967187725,0.008849511547404869,0.0295845978230164,-0.8366833541317751,-0.8364427047791629,15;83;331;141;147;148;148;148;148;148;148;148,14;82;330;140;146;147;147;147;147;147;147;147,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08;1e-09;1e-10;1e-11,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-12,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps),cold,False,999999,1000000,0,1000000,1142.5587074756622,0.0,1142.5587074756622,0.4367568870710808,0.6036660890908081,1.6777412038588921,-0.9269642022452314,-0.9269632634559327,,,,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-12,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
KL descent (eta=eps),warm_matched,False,999569,999570,430,1000000,1171.5454587936401,0.503741979598999,1172.0492007732391,0.00012501250646725667,0.00891797963411598,0.02965860120071901,-0.8366901229345608,-0.8364432512984972,3;21;83;35;36;36;36;36;36;36;36;36,2;20;82;34;35;35;35;35;35;35;35;35,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08;1e-09;1e-10;1e-11,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-12,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
MD-Sinkhorn (M=1),cold,False,250000,1000000,0,1000000,693.6344735622406,0.0,693.6344735622406,0.4367588778645749,0.6036669918350145,1.6777448741153669,-0.9269642022464754,-0.9269639686734307,,,,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-12,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=1),warm_matched,False,249572,998288,1712,1000000,696.5677444934845,1.1969776153564453,697.7647221088409,0.00011045418148470775,0.008616595224403459,0.027819427155881232,-0.8366660801253466,-0.8364190026058442,9;85;321;137;145;145;145;145;145;145;145;145,2;21;80;34;36;36;36;36;36;36;36;36,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08;1e-09;1e-10;1e-11,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-12,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=2),cold,False,125000,1000000,0,1000000,610.4477508068085,0.0,610.4477508068085,0.4367588778645749,0.6036669918350145,1.6777448741153669,-0.9269642022464754,-0.9269639686734307,,,,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-12,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=2),warm_matched,False,124787,998292,1708,1000000,583.066321849823,1.0366151332855225,584.1029369831085,0.00010102433380838734,0.008778858314813048,0.026177005705439797,-0.837028499997634,-0.8363979472875638,17;105;329;129;137;145;137;145;137;145;137;145,2;13;41;16;17;18;17;18;17;18;17;18,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08;1e-09;1e-10;1e-11,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-12,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=5),cold,False,50000,1000000,0,1000000,672.190179347992,0.0,672.190179347992,0.43675887786457507,0.6036669918350144,1.6777448741153673,-0.9269642022464757,-0.9269639686734307,,,,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-12,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
MD-Sinkhorn (M=5),warm_matched,False,49907,998128,1872,1000000,819.8395645618439,1.569641351699829,821.4092059135437,6.60029733915961e-05,0.008082038435597301,0.020040793314988675,-0.8370960347920104,-0.8363566917903406,21;161;501;121;141;121;141;141;121;141;141;121,2;8;25;6;7;6;7;7;6;7;7;6,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08;1e-09;1e-10;1e-11,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-12,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
