method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,final_dual_value,stage_gibbs_calls,stage_iters,eps_schedule,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,total_hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,total_hit_tr_gibbs_le_1em04,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,max_gibbs_calls,warm_method,warm_variant
KL descent (eta=eps/N),cold,False,999999,1000000,0,1000000,1430.5051009654999,0.0,1430.5051009654999,0.031048444118314273,0.23283624689940619,0.3330509900275779,-0.9819798305855242,-0.9819642938530367,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps/N),warm_matched,False,997065,997066,2934,1000000,1433.2602593898773,4.2285754680633545,1437.4888348579407,8.084613338149647e-05,0.010565724347659868,0.019572113142227714,-0.9353025758383459,-0.9353098095340074,13;60;375;984;292;303;302;303;302,12;59;374;983;291;302;301;302;301,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps),cold,False,999999,1000000,0,1000000,1436.7733356952667,0.0,1436.7733356952667,0.0309634413299907,0.23229747617233226,0.3329902966786019,-0.9819797773584007,-0.9819177547240284,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
KL descent (eta=eps),warm_matched,False,999268,999269,731,1000000,1444.6315565109253,1.0632662773132324,1445.6948227882385,8.030375034026691e-05,0.010546005192300922,0.019435978968657744,-0.9353299863043354,-0.9352910439775588,4;21;93;237;73;76;75;76;76,3;20;92;236;72;75;74;75;75,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
MD-Sinkhorn (M=1),cold,False,250000,1000000,0,1000000,795.5264842510223,0.0,795.5264842510223,0.03104844409335036,0.23283624673758074,0.33305099001234056,-0.9819798305855182,-0.981964293837709,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=1),warm_matched,False,249302,997209,2791,1000000,797.2467031478882,2.2448861598968506,799.491589307785,8.208628456655227e-05,0.010493771866641032,0.018986246378895157,-0.9354418647608369,-0.9352049117469085,9;128;326;800;300;305;309;309;305,2;36;82;202;75;76;77;77;76,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=2),cold,False,125000,1000000,0,1000000,689.263706445694,0.0,689.263706445694,0.031048444093475357,0.23283624673838826,0.3330509900123828,-0.9819798305855183,-0.9819642938377092,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=2),warm_matched,False,124652,997213,2787,1000000,691.8881227970123,1.9496734142303467,693.8377962112427,8.806130886975053e-05,0.010429453111245213,0.020326206508352034,-0.9354969091559663,-0.9351555243130104,17;196;312;721;303;311;309;309;309,2;28;39;90;38;39;39;39;39,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=5),cold,False,50000,1000000,0,1000000,624.2737817764282,0.0,624.2737817764282,0.03104844409385088,0.23283624674081188,0.33305099001250965,-0.9819798305855183,-0.9819642938377103,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
MD-Sinkhorn (M=5),warm_matched,False,49857,997124,2876,1000000,626.1619186401367,1.8291079998016357,627.9910266399384,0.00010906128354196067,0.01001782604777661,0.024730463149781834,-0.9358937312363751,-0.935098025047721,20;354;281;621;316;321;321;321;321,2;22;14;31;16;16;16;16;16,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
