method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,final_dual_value,stage_gibbs_calls,stage_iters,eps_schedule,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,total_hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,total_hit_tr_gibbs_le_1em04,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,max_gibbs_calls,warm_method,warm_variant
KL descent (eta=eps/N),cold,True,22858,22859,0,22859,32.557565450668335,0.0,32.557565450668335,1.2932391017264002e-08,9.999229760033923e-05,0.00028253706424186353,-0.8363313646193379,-0.8369801834267925,,,,True,13273,13274,13274,True,22858,22859,22859,random,mixed,4,0,small_random_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps/N),warm_matched,True,21368,21369,429,21798,30.501006603240967,0.6138389110565186,31.114845514297485,1.4818587450143834e-08,9.998221204300444e-05,0.00031616571099772785,-0.8363240922924291,-0.8369801859169216,15;83;331,14;82;330,1.0;0.1;0.01,True,10027,10028,10457,True,21368,21369,21798,random,mixed,4,0,small_random_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps),cold,True,5714,5715,0,5715,8.141844749450684,0.0,8.141844749450684,1.2918469311425524e-08,9.991459713898108e-05,0.0002824321478689826,-0.8363313567697443,-0.8369801834108709,,,,True,3317,3318,3318,True,5714,5715,5715,random,mixed,4,0,small_random_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
KL descent (eta=eps),warm_matched,True,5343,5344,107,5451,7.62375283241272,0.15362262725830078,7.7773754596710205,1.4803516992414184e-08,9.993133812700785e-05,0.0003160204745071198,-0.836324096549335,-0.8369801858983432,3;21;83,2;20;82,1.0;0.1;0.01,True,2508,2509,2616,True,5343,5344,5451,random,mixed,4,0,small_random_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
MD-Sinkhorn (M=1),cold,True,4930,18528,0,18528,15.009274005889893,0.0,15.009274005889893,1.8954973230870034e-08,9.963384327813367e-05,0.0003671011496596985,-0.8363278414206716,-0.8369801855388392,,,,True,2999,11997,11997,True,4930,18528,18528,random,mixed,4,0,small_random_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=1),warm_matched,True,4739,18367,415,18782,14.725454330444336,0.33235716819763184,15.057811498641968,2.054960855098182e-08,9.959860742906547e-05,0.0003870161926479576,-0.8363241815930513,-0.8369801917008224,9;85;321,2;21;80,1.0;0.1;0.01,True,2226,8905,9320,True,4739,18367,18782,random,mixed,4,0,small_random_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=2),cold,True,2515,18699,0,18699,13.07091736793518,0.0,13.07091736793518,1.9149760703737458e-08,9.905658625692458e-05,0.0003723360752908635,-0.8363313592960558,-0.8369801846259355,,,,True,1575,12601,12601,True,2515,18699,18699,random,mixed,4,0,small_random_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=2),warm_matched,True,2350,17485,451,17936,12.209888696670532,0.3158879280090332,12.525776624679565,1.93655725505581e-08,9.981103554693098e-05,0.00037336619898389395,-0.8363265008857637,-0.8369801896477675,17;105;329,2;13;41,1.0;0.1;0.01,True,1050,8401,8852,True,2350,17485,17936,random,mixed,4,0,small_random_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=5),cold,True,1073,18732,0,18732,11.87602710723877,0.0,11.87602710723877,1.9914420690220696e-08,9.961971958623307e-05,0.00037836106974196884,-0.8363351363218984,-0.8369801807615292,,,,True,748,14961,14961,True,1073,18732,18732,random,mixed,4,0,small_random_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
MD-Sinkhorn (M=5),warm_matched,True,879,13510,683,14193,8.662442684173584,0.4309358596801758,9.09337854385376,2.0912722234912168e-08,9.973315870216693e-05,0.0003864778571215994,-0.8363279645057965,-0.8369801865597466,21;161;501,2;8;25,1.0;0.1;0.01,True,338,6761,7444,True,879,13510,14193,random,mixed,4,0,small_random_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
