method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,final_dual_value,stage_gibbs_calls,stage_iters,eps_schedule,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,total_hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,total_hit_tr_gibbs_le_1em04,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,max_gibbs_calls,warm_method,warm_variant
KL descent (eta=eps/N),cold,False,999999,1000000,0,1000000,1682.3864443302155,0.0,1682.3864443302155,0.024026319184385223,0.16048091101125267,0.319048863082876,-0.9813075479608985,-0.9690769098803383,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-06,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps/N),warm_matched,False,997972,997973,2027,1000000,1650.8879611492157,3.3668410778045654,1654.2548022270203,5.091801744822261e-05,0.0075378263963721825,0.014842505301817134,-0.9350575757188924,-0.9352796889782706,13;60;375;984;292;303,12;59;374;983;291;302,1.0;0.1;0.01;0.001;0.0001;1e-05,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-06,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps),cold,False,999999,1000000,0,1000000,1642.3759429454803,0.0,1642.3759429454803,0.019365536424404764,0.14001804521524797,0.28100815451707906,-0.978027130705207,-0.9365340778454437,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-06,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
KL descent (eta=eps),warm_matched,False,999495,999496,504,1000000,1652.2398619651794,0.8471462726593018,1653.0870082378387,3.534978180285422e-05,0.005648058841722259,0.011167423819874268,-0.9349794268154696,-0.9352012148930349,4;21;93;237;73;76,3;20;92;236;72;75,1.0;0.1;0.01;0.001;0.0001;1e-05,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-06,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
MD-Sinkhorn (M=1),cold,False,250000,1000000,0,1000000,907.3707048892975,0.0,907.3707048892975,0.024026318491881606,0.16048115693475712,0.3190488386839317,-0.9813075506218177,-0.9690768663071541,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-06,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=1),warm_matched,False,249533,998132,1868,1000000,918.7353720664978,1.7534854412078857,920.4888575077057,3.631482414002138e-05,0.006740357705820488,0.012974348625956922,-0.9350879029716999,-0.9351794833696934,9;128;326;800;300;305,2;36;82;202;75;76,1.0;0.1;0.01;0.001;0.0001;1e-05,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-06,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=2),cold,False,125000,1000000,0,1000000,793.7040364742279,0.0,793.7040364742279,0.024026323053448657,0.16048146920307732,0.3190488511775186,-0.9813075551704535,-0.9690768619249883,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-06,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=2),warm_matched,False,125935,998140,1860,1000000,805.6250622272491,1.5154228210449219,807.1404850482941,2.9607992228218604e-05,0.006248344046574816,0.011998459032775865,-0.9350973279313527,-0.9351312633492079,17;196;312;721;303;311,2;28;39;90;38;39,1.0;0.1;0.01;0.001;0.0001;1e-05,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-06,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=5),cold,False,50000,1000000,0,1000000,723.9784314632416,0.0,723.9784314632416,0.024026336739379046,0.160482406007947,0.3190488886586791,-0.9813075688162456,-0.9690768487791619,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-06,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
MD-Sinkhorn (M=5),warm_matched,False,50527,998087,1913,1000000,735.5669252872467,1.4154119491577148,736.9823372364044,2.3146085325796923e-05,0.005570521007310869,0.01097453822262423,-0.9349917795466578,-0.9350729195484779,20;354;281;621;316;321,2;22;14;31;16;16,1.0;0.1;0.01;0.001;0.0001;1e-05,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-06,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
