label,N,n,gibbs_to_tol_mean,gibbs_to_tol_std,gibbs_to_tol_median,gibbs_to_tol_q1,gibbs_to_tol_q3,time_to_tol_mean,time_to_tol_std,time_to_tol_median,time_to_tol_q1,time_to_tol_q3
KL descent,3,2,24.0,0.0,24.0,24.0,24.0,0.016516923904418945,0.0007023350835855381,0.016516923904418945,0.016268610954284668,0.016765236854553223
KL descent,4,2,33.5,0.7071067811865476,33.5,33.25,33.75,0.07259905338287354,0.05249019089764956,0.07259905338287354,0.05404096841812134,0.09115713834762573
MD-Sinkhorn (M=1),3,2,10.0,0.0,10.0,10.0,10.0,0.004649043083190918,0.0008090509040151218,0.004649043083190918,0.004363000392913818,0.004935085773468018
MD-Sinkhorn (M=1),4,2,13.0,0.0,13.0,13.0,13.0,0.019485950469970703,0.016225862327118028,0.019485950469970703,0.013749241828918457,0.02522265911102295
