algo,M_inner,d,hit_k,hit_rate,gibbs_median
KL,0,2,5,1.0,27.0
KL,0,3,5,1.0,28.0
KL,0,4,5,1.0,26.0
KL,0,5,5,1.0,28.0
KL,0,6,5,1.0,29.0
MD,1,2,5,1.0,13.0
MD,1,3,5,1.0,13.0
MD,1,4,5,1.0,13.0
MD,1,5,5,1.0,19.0
MD,1,6,5,1.0,19.0
MD,2,2,5,1.0,25.0
MD,2,3,5,1.0,19.0
MD,2,4,5,1.0,19.0
MD,2,5,5,1.0,19.0
MD,2,6,5,1.0,19.0
MD,5,2,5,1.0,61.0
MD,5,3,5,1.0,46.0
MD,5,4,5,1.0,46.0
MD,5,5,5,1.0,46.0
MD,5,6,5,1.0,46.0
