exp,N,d,seed,eps,tol_F,max_iter,algo,M_inner,converged,gibbs_to_tol,time_to_tol,sec_per_gibbs_to_tol,gibbs_total,wall_sec_total
E3_N3_KL_vs_MD_M125,3,5,1,1.0,1e-08,25000,MD,5,1,46.0,47.36469125747681,1.0296672012494958,46.0,48.31294131278992
E3_N3_KL_vs_MD_M125,3,6,1,1.0,1e-08,25000,KL,0,1,524.0,1529.388373374939,2.9186801018605704,524.0,1533.1627397537231
E3_N3_KL_vs_MD_M125,3,6,1,1.0,1e-08,25000,MD,1,1,520.0,1454.763109445572,2.7976213643184074,520.0,1457.6491379737854
E3_N3_KL_vs_MD_M125,3,6,1,1.0,1e-08,25000,MD,2,1,523.0,1089.186936378479,2.0825754041653517,523.0,1091.8363494873047
E3_N3_KL_vs_MD_M125,3,6,1,1.0,1e-08,25000,MD,5,1,526.0,822.9823393821716,1.5646052079508965,526.0,823.5881142616272
E3_N3_KL_vs_MD_M125,3,2,2,1.0,1e-08,25000,KL,0,1,30.0,0.09565472602844238,0.003188490867614746,30.0,0.10019397735595703
E3_N3_KL_vs_MD_M125,3,2,2,1.0,1e-08,25000,MD,1,1,16.0,0.028531789779663086,0.0017832368612289429,16.0,0.030049800872802734
E3_N3_KL_vs_MD_M125,3,2,2,1.0,1e-08,25000,MD,2,1,25.0,0.03594374656677246,0.0014377498626708984,25.0,0.036980628967285156
E3_N3_KL_vs_MD_M125,3,2,2,1.0,1e-08,25000,MD,5,1,61.0,0.059626102447509766,0.0009774770893034388,61.0,0.06060481071472168
E3_N3_KL_vs_MD_M125,3,3,2,1.0,1e-08,25000,KL,0,1,28.0,0.5569744110107422,0.01989194325038365,28.0,0.5804972648620605
E3_N3_KL_vs_MD_M125,3,3,2,1.0,1e-08,25000,MD,1,1,13.0,0.2220149040222168,0.017078069540170524,13.0,0.2498338222503662
E3_N3_KL_vs_MD_M125,3,3,2,1.0,1e-08,25000,MD,2,1,19.0,0.36937522888183594,0.01944080152009663,19.0,0.3779475688934326
E3_N3_KL_vs_MD_M125,3,3,2,1.0,1e-08,25000,MD,5,1,46.0,0.7797949314117432,0.016952063726342243,46.0,0.7972691059112549
E3_N3_KL_vs_MD_M125,3,4,2,1.0,1e-08,25000,KL,0,1,26.0,1.1427311897277832,0.04395119960491474,26.0,1.1731328964233398
E3_N3_KL_vs_MD_M125,3,4,2,1.0,1e-08,25000,MD,1,1,13.0,0.48999452590942383,0.03769188660841722,13.0,0.5280780792236328
E3_N3_KL_vs_MD_M125,3,4,2,1.0,1e-08,25000,MD,2,1,19.0,0.864710807800293,0.04551109514738384,19.0,0.8917832374572754
E3_N3_KL_vs_MD_M125,3,4,2,1.0,1e-08,25000,MD,5,1,46.0,1.7884697914123535,0.038879778074181595,46.0,1.84761381149292
E3_N3_KL_vs_MD_M125,3,5,2,1.0,1e-08,25000,KL,0,1,27.0,18.372666120529175,0.6804691155751547,27.0,19.035059452056885
E3_N3_KL_vs_MD_M125,3,5,2,1.0,1e-08,25000,MD,1,1,16.0,10.719908952713013,0.6699943095445633,16.0,11.473304033279419
E3_N3_KL_vs_MD_M125,3,5,2,1.0,1e-08,25000,MD,2,1,19.0,12.71636152267456,0.6692821854039243,19.0,13.342435598373413
E3_N3_KL_vs_MD_M125,3,5,2,1.0,1e-08,25000,MD,5,1,46.0,32.10049915313721,0.6978369381116785,46.0,33.03087401390076
E3_N3_KL_vs_MD_M125,3,6,2,1.0,1e-08,25000,KL,0,1,33.0,83.12916851043701,2.5190657124374853,33.0,85.51629686355591
E3_N3_KL_vs_MD_M125,3,6,2,1.0,1e-08,25000,MD,1,1,25.0,59.64856004714966,2.3859424018859863,25.0,62.14115786552429
E3_N3_KL_vs_MD_M125,3,6,2,1.0,1e-08,25000,MD,2,1,25.0,60.31419372558594,2.4125677490234376,25.0,62.66071438789368
E3_N3_KL_vs_MD_M125,3,6,2,1.0,1e-08,25000,MD,5,1,46.0,112.97950720787048,2.4560762436493584,46.0,115.23728108406067
E3_N3_KL_vs_MD_M125,3,2,3,1.0,1e-08,25000,KL,0,1,26.0,0.05713486671447754,0.0021974948736337516,26.0,0.061132192611694336
E3_N3_KL_vs_MD_M125,3,2,3,1.0,1e-08,25000,MD,1,1,13.0,0.020997047424316406,0.001615157494178185,13.0,0.020997047424316406
E3_N3_KL_vs_MD_M125,3,2,3,1.0,1e-08,25000,MD,2,1,25.0,0.03700876235961914,0.0014803504943847656,25.0,0.038016319274902344
E3_N3_KL_vs_MD_M125,3,2,3,1.0,1e-08,25000,MD,5,1,61.0,0.07418346405029297,0.0012161223614802126,61.0,0.07518315315246582
E3_N3_KL_vs_MD_M125,3,3,3,1.0,1e-08,25000,KL,0,1,26.0,0.5692257881164551,0.02189329954294058,26.0,0.5986483097076416
E3_N3_KL_vs_MD_M125,3,3,3,1.0,1e-08,25000,MD,1,1,13.0,0.2758619785308838,0.02122015219468337,13.0,0.28581929206848145
E3_N3_KL_vs_MD_M125,3,3,3,1.0,1e-08,25000,MD,2,1,19.0,0.36101818084716797,0.01900095688669305,19.0,0.38391995429992676
E3_N3_KL_vs_MD_M125,3,3,3,1.0,1e-08,25000,MD,5,1,46.0,1.060323715209961,0.02305051554804263,46.0,1.0875117778778076
E3_N3_KL_vs_MD_M125,3,4,3,1.0,1e-08,25000,KL,0,1,33.0,1.5042309761047363,0.045582756851658676,33.0,1.5431385040283203
E3_N3_KL_vs_MD_M125,3,4,3,1.0,1e-08,25000,MD,1,1,25.0,0.9840779304504395,0.03936311721801758,25.0,1.0256738662719727
E3_N3_KL_vs_MD_M125,3,4,3,1.0,1e-08,25000,MD,2,1,25.0,1.003387689590454,0.04013550758361816,25.0,1.0464849472045898
E3_N3_KL_vs_MD_M125,3,4,3,1.0,1e-08,25000,MD,5,1,46.0,1.9099578857421875,0.041520823603091034,46.0,1.9480350017547607
E3_N3_KL_vs_MD_M125,3,5,3,1.0,1e-08,25000,KL,0,1,109.0,77.7055733203888,0.7128951680769614,109.0,78.3274405002594
E3_N3_KL_vs_MD_M125,3,5,3,1.0,1e-08,25000,MD,1,1,103.0,73.19526028633118,0.710633595012924,103.0,73.89236259460449
E3_N3_KL_vs_MD_M125,3,5,3,1.0,1e-08,25000,MD,2,1,103.0,73.25577521324158,0.7112211185751609,103.0,73.97347378730774
E3_N3_KL_vs_MD_M125,3,5,3,1.0,1e-08,25000,MD,5,1,106.0,73.59134316444397,0.6942579543815469,106.0,74.25095534324646
E3_N3_KL_vs_MD_M125,3,6,3,1.0,1e-08,25000,KL,0,1,29.0,76.85419750213623,2.6501447414529733,29.0,79.05182719230652
E3_N3_KL_vs_MD_M125,3,6,3,1.0,1e-08,25000,MD,1,1,19.0,44.76728367805481,2.3561728251607796,19.0,47.047977447509766
E3_N3_KL_vs_MD_M125,3,6,3,1.0,1e-08,25000,MD,2,1,19.0,42.972084045410156,2.2616886339689555,19.0,45.36175560951233
E3_N3_KL_vs_MD_M125,3,6,3,1.0,1e-08,25000,MD,5,1,46.0,112.24704217910767,2.4401530908501665,46.0,114.56064963340759
E3_N3_KL_vs_MD_M125,3,2,4,1.0,1e-08,25000,KL,0,1,32.0,0.09163665771484375,0.002863645553588867,32.0,0.09605860710144043
E3_N3_KL_vs_MD_M125,3,2,4,1.0,1e-08,25000,MD,1,1,22.0,0.03998398780822754,0.0018174539912830699,22.0,0.04101824760437012
E3_N3_KL_vs_MD_M125,3,2,4,1.0,1e-08,25000,MD,2,1,25.0,0.03656625747680664,0.0014626502990722657,25.0,0.03755450248718262
E3_N3_KL_vs_MD_M125,3,2,4,1.0,1e-08,25000,MD,5,1,46.0,0.058000802993774414,0.0012608870216037917,46.0,0.0589907169342041
E3_N3_KL_vs_MD_M125,3,3,4,1.0,1e-08,25000,KL,0,1,27.0,0.5449204444885254,0.020182238684760198,27.0,0.5765836238861084
E3_N3_KL_vs_MD_M125,3,3,4,1.0,1e-08,25000,MD,1,1,13.0,0.2677929401397705,0.0205994569338285,13.0,0.28490781784057617
E3_N3_KL_vs_MD_M125,3,3,4,1.0,1e-08,25000,MD,2,1,19.0,0.3394036293029785,0.01786334891068308,19.0,0.35950469970703125
E3_N3_KL_vs_MD_M125,3,3,4,1.0,1e-08,25000,MD,5,1,46.0,0.8815732002258301,0.019164634787518044,46.0,0.9031107425689697
E3_N3_KL_vs_MD_M125,3,4,4,1.0,1e-08,25000,KL,0,1,26.0,1.2243280410766602,0.04708954004141001,26.0,1.274399995803833
E3_N3_KL_vs_MD_M125,3,4,4,1.0,1e-08,25000,MD,1,1,13.0,0.48206090927124023,0.03708160840548002,13.0,0.5127079486846924
E3_N3_KL_vs_MD_M125,3,4,4,1.0,1e-08,25000,MD,2,1,19.0,0.7299296855926514,0.038417351873297444,19.0,0.7718355655670166
E3_N3_KL_vs_MD_M125,3,4,4,1.0,1e-08,25000,MD,5,1,46.0,2.001309871673584,0.04350673634073009,46.0,2.05417537689209
E3_N3_KL_vs_MD_M125,3,5,4,1.0,1e-08,25000,KL,0,1,26.0,18.83881139755249,0.7245696691366342,26.0,19.656341552734375
E3_N3_KL_vs_MD_M125,3,5,4,1.0,1e-08,25000,MD,1,1,16.0,11.39486837387085,0.7121792733669281,16.0,12.083423376083374
E3_N3_KL_vs_MD_M125,3,5,4,1.0,1e-08,25000,MD,2,1,19.0,13.552040338516235,0.7132652809745387,19.0,14.229102849960327
E3_N3_KL_vs_MD_M125,3,5,4,1.0,1e-08,25000,MD,5,1,46.0,36.874295711517334,0.8016151241634203,46.0,37.95632219314575
E3_N3_KL_vs_MD_M125,3,6,4,1.0,1e-08,25000,KL,0,1,27.0,63.866971254348755,2.3654433797906944,27.0,66.44056868553162
E3_N3_KL_vs_MD_M125,3,6,4,1.0,1e-08,25000,MD,1,1,19.0,42.90736484527588,2.258282360277678,19.0,45.29401969909668
E3_N3_KL_vs_MD_M125,3,6,4,1.0,1e-08,25000,MD,2,1,19.0,47.63972544670105,2.5073539708790027,19.0,50.42558312416077
E3_N3_KL_vs_MD_M125,3,6,4,1.0,1e-08,25000,MD,5,1,46.0,105.72975873947144,2.298473016075466,46.0,107.91074252128601
