experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_entropic_primal,final_linear_cost,final_entropy,final_dual_value,final_primal_dual_gap,final_state_path,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,dual_gap_to_lbfgs,lbfgs_run_mode,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_ising_mixed_N5_seed0,0.001,2x2x2x2x2,L-BFGS entropy dual (fixed budget),,ok,False,10000,7.095605850219727,60358,-0.945504323216577,-0.945504323216577,-0.9448207614303887,-0.6835617861881735,-0.94551365337627,9.330159693066165e-06,results/hpc_qubit_scaling_N3N7/final_states/N5/small__small_ising_mixed_N5_seed0__eps1e-03__L-BFGS_entropy_dual_fixed_budget.npz,7.147115583560197e-09,4.747807906824164e-05,-1,14,-1,41,True,0.0,0.0,0.0,fixed_budget,,,,,,,,,,True,11,33,True,14,41,True,75,250,ising,mixed,0,,
small,-2,small_ising_mixed_N5_seed0,0.001,2x2x2x2x2,L-BFGS entropy dual (first hit),,ok,True,41,,41,,,,,,,,,3.9727980038151145e-05,,14,,41,,,,,,,,,,,,,,,True,11,33,True,14,41,True,75,250,ising,mixed,0,,
small,-2,small_ising_mixed_N5_seed0,0.001,2x2x2x2x2,KL descent (eta=eps/N),,ok,True,16686,34.89360165596008,16687,-0.9455171994181356,-0.9455171994181356,-0.9448336777060296,-0.6835217121060346,-0.9455142035337024,-2.995884433198981e-06,results/hpc_qubit_scaling_N3N7/final_states/N5/small__small_ising_mixed_N5_seed0__eps1e-03__KL_descent_eta_eps_over_N.npz,1.346680703902147e-08,9.99793123668824e-05,-1,16686,-1,16687,False,0.0019158319696472269,1.2876201558653655e-05,-5.501574323885094e-07,,True,1185,1186,True,2908,2909,True,6308,6309,True,9505,9506,True,16686,16687,False,-1,,ising,mixed,0,0.0002,eps_over_N
small,-2,small_ising_mixed_N5_seed0,0.001,2x2x2x2x2,KL descent (eta=eps),,ok,True,3337,6.997905731201172,3338,-0.9455171952758866,-0.9455171952758866,-0.944833673544865,-0.6835217310215659,-0.9455142035140128,-2.991761873794019e-06,results/hpc_qubit_scaling_N3N7/final_states/N5/small__small_ising_mixed_N5_seed0__eps1e-03__KL_descent_eta_eps.npz,1.3431803941151871e-08,9.984084195097109e-05,-1,3337,-1,3338,False,0.0019157722864981612,1.2872059309665396e-05,-5.501377428052123e-07,,True,237,238,True,583,584,True,1262,1263,True,1901,1902,True,3337,3338,False,-1,,ising,mixed,0,0.001,eps
small,-2,small_ising_mixed_N5_seed0,0.001,2x2x2x2x2,MD-Sinkhorn (M=1),1,ok,True,3207,16.365349292755127,12985,-0.9455126507471759,-0.9455126507471759,-0.9448291201261072,-0.6835306210686947,-0.9455142102369176,1.5594897416759679e-06,results/hpc_qubit_scaling_N3N7/final_states/N5/small__small_ising_mixed_N5_seed0__eps1e-03__MD-Sinkhorn_M_1__M1.npz,3.196814689706987e-08,9.993442778435946e-05,-1,3207,-1,12985,False,0.0019201875236898383,8.327530598983834e-06,-5.568606475936377e-07,,True,232,1161,True,583,2878,True,1255,5997,True,1900,9064,True,3207,12985,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N5_seed0,0.001,2x2x2x2x2,MD-Sinkhorn (M=2),2,ok,True,1605,14.374577283859253,12770,-0.9455125874647361,-0.9455125874647361,-0.9448290567107656,-0.6835307539705613,-0.9455142100200883,1.6225553521875824e-06,results/hpc_qubit_scaling_N3N7/final_states/N5/small__small_ising_mixed_N5_seed0__eps1e-03__MD-Sinkhorn_M_2__M2.npz,3.2105931935138453e-08,9.990350538519044e-05,-1,1605,-1,12770,False,0.0019197288274553138,8.264248159139953e-06,-5.566438182613709e-07,,True,116,1161,True,290,2853,True,626,5963,True,951,9030,True,1605,12770,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N5_seed0,0.001,2x2x2x2x2,MD-Sinkhorn (M=5),5,ok,True,644,12.692633867263794,12049,-0.9455127007979821,-0.9455127007979821,-0.9448291703419104,-0.6835304560717459,-0.9455142094495963,1.5086516141904482e-06,results/hpc_qubit_scaling_N3N7/final_states/N5/small__small_ising_mixed_N5_seed0__eps1e-03__MD-Sinkhorn_M_5__M5.npz,3.230573050444277e-08,9.97956954910395e-05,-1,644,-1,12049,False,0.001919132708120783,8.377581405150103e-06,-5.560733262743867e-07,,True,48,1201,True,114,2749,True,251,5790,True,380,8519,True,644,12049,False,-1,,ising,mixed,0,,
